symbol,status,folds,parquet,years
PFE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/PFE/wfo_metrics.parquet,
SOYBEAN.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/SOYBEAN.c/wfo_metrics.parquet,
T,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/T/wfo_metrics.parquet,
SPN35.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/SPN35.cash/wfo_metrics.parquet,
TSLA,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/TSLA/wfo_metrics.parquet,
UK100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/UK100.cash/wfo_metrics.parquet,
UKOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/UKOIL.cash/wfo_metrics.parquet,
US2000.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US2000.cash/wfo_metrics.parquet,
US100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US100.cash/wfo_metrics.parquet,
US500.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US500.cash/wfo_metrics.parquet,
US30.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/US30.cash/wfo_metrics.parquet,
USD_CNH,not_enough_years,,,2
USD_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CAD/wfo_metrics.parquet,
USD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CHF/wfo_metrics.parquet,
USD_HKD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_HKD/wfo_metrics.parquet,
USD_CZK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_CZK/wfo_metrics.parquet,
USD_ILS,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_ILS/wfo_metrics.parquet,
USD_HUF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_HUF/wfo_metrics.parquet,
USD_MXN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_MXN/wfo_metrics.parquet,
USD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_JPY/wfo_metrics.parquet,
USD_SGD,not_enough_years,,,2
USD_NOK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_NOK/wfo_metrics.parquet,
USD_PLN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_PLN/wfo_metrics.parquet,
USD_SEK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native/USD_SEK/wfo_metrics.parquet,
