symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
EUR_CAD,H1,2026,1,2024-2025,816,44,0.5,-3.006980388471945,-8.137157733457462,-0.01821663048367539,0.6630740589116455,cuda,1.0203491634828765,3.0,7.0203491634828765
EUR_CAD,M1,2026,1,2024-2025,50135,0,0.0,0.0,0.0,0.0,0.0,cuda,1.0203491634828765,3.0,7.0203491634828765
EUR_CAD,M15,2026,1,2024-2025,3292,7,0.2857142857142857,-15.68406917406752,-62.711810979359896,-0.007403847679059217,0.1068284210017837,cuda,1.0203491634828765,3.0,7.0203491634828765
EUR_CAD,M30,2026,1,2024-2025,1658,23,0.391304347826087,-6.003566351898789,-16.453530796991686,-0.013766052165459008,0.43748350433046707,cuda,1.0203491634828765,3.0,7.0203491634828765
EUR_CAD,M5,2026,1,2024-2025,9811,5,0.6,-1.1278005550943886,-1.1131471676521476,-0.00202066759569286,0.8244875738938022,cuda,1.0203491634828765,3.0,7.0203491634828765
