symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
GBP_CHF,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.8,1.3,-291493.98,327354.75,327.35,-5.27,-0.89,0.65,-0.0361,26.7,1094,7.0,37,0.2572,0.1428,43.8,1.8,28.0,21.9,4.5,false,true,88,1006
AUD_CAD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.8,1.3,-119110.47,132444.91,132.44,-4.35,-0.9,0.68,-0.0353,25.6,904,9.0,37,0.2741,0.1415,25.1,3.4,45.6,16.5,9.4,false,true,80,824
GALUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,31.2,8.7,-57776.38,64404.47,64.4,-3.29,-0.9,0.69,-0.3577,21.5,316,12.2,18,5.3711,1.9284,45.6,7.3,31.6,8.5,7.0,false,true,83,233
MANUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,34.4,11.9,-29305.09,32626.46,32.63,-1.68,-0.9,0.83,-0.2003,29.6,324,14.5,18,4.2501,2.0741,37.7,3.4,29.6,13.9,15.4,false,true,87,237
GBP_AUD,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.6,1.1,-98369.31,108569.23,108.57,-2.91,-0.91,0.77,-0.0268,30.5,922,8.9,37,0.2794,0.1611,31.0,2.3,33.7,20.8,12.1,false,true,83,839
US2000.cash,ok,index,us_idx,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,7.3,4.3,-95815.42,105722.69,105.72,-1.31,-0.91,0.89,-0.0055,30.0,1123,6.4,35,0.8241,0.3611,50.8,1.2,19.1,28.0,1.0,false,true,89,1034
EUR_USD,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,3.8,0.3,-303276.33,328353.53,328.35,-4.0,-0.92,0.74,-0.0168,24.2,1296,5.8,37,0.2802,0.1113,50.2,1.1,25.5,21.8,1.5,false,true,81,1215
USD_MXN,ok,forex,unknown,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,6.1,2.6,-295546.31,320092.37,320.09,-3.48,-0.92,0.76,-0.0216,21.5,1249,5.9,37,0.4999,0.1647,51.6,3.4,25.8,14.3,4.8,false,true,86,1163
RACE,ok,equity,eu_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.9,26.4,21.0,-51023.9,54790.17,54.79,-6.39,-0.93,0.69,-0.1648,32.6,267,4.7,7,1.0945,0.7734,46.8,1.5,20.6,30.0,1.1,false,true,98,169
SANUSD,ok,crypto,crypto,H1,1.5,6.0,4.0,1.0,3.0,1.0,30,1.0,33.6,11.1,-56550.54,60073.1,60.07,-3.29,-0.94,0.71,-0.36,26.3,380,11.7,18,3.6573,1.7947,36.3,2.1,34.2,17.6,9.7,false,true,97,283
USD_CHF,ok,forex,forex,H1,1.5,6.0,4.0,0.8,2.5,1.0,30,1.0,4.3,0.8,-178983.94,190005.26,190.01,-4.28,-0.94,0.75,-0.0214,36.2,1210,6.1,37,0.2241,0.1606,38.3,1.1,23.5,33.4,3.8,false,true,95,1115
