symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
NVDA,ok,equity,us_equity,H1,1.27,6.91,5.4,0.33,2.6,1.85,30,0.7,11.0,5.6,58785.88,8073.82,8.07,7.99,7.28,2.29,0.5614,21.9,224,6.0,7,4.5279,0.5492,21.9,6.2,56.2,14.3,1.3,true
RACE,ok,equity,eu_equity,H4,0.87,6.92,8.0,0.44,3.72,0.39,13,0.52,26.4,21.0,27870.53,5455.64,5.46,4.99,5.11,2.04,0.5854,22.3,94,4.1,8,5.3155,0.7753,31.9,3.2,45.7,11.7,7.4,true
META,ok,equity,us_equity,H4,2.46,7.39,3.0,1.42,1.57,1.68,36,1.19,10.7,5.3,12314.96,5613.54,5.61,2.44,2.19,1.65,1.2236,58.7,46,11.3,8,4.4534,3.3662,28.3,6.5,2.2,60.9,2.2,true
