symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
NVDA,ok,equity,us_equity,H1,1.27,6.91,5.4,0.33,2.6,1.85,30,0.7,11.0,5.6,58785.88,8073.82,8.07,7.99,7.28,2.29,0.5614,21.9,224,6.0,7,4.5279,0.5492,21.9,6.2,56.2,14.3,1.3,true
AMZN,ok,equity,us_equity,H4,0.51,6.26,12.3,0.54,1.0,0.56,17,1.06,10.3,4.9,104852.98,14555.47,14.56,9.94,7.2,2.47,0.5721,42.2,116,2.2,8,2.4075,0.7703,45.7,0.9,12.1,41.4,0.0,false
LVMH,ok,equity,eu_equity,H1,1.05,6.29,6.0,1.14,1.95,1.33,36,2.45,7.8,2.4,233033.11,44675.75,44.68,5.78,5.22,1.55,0.2648,35.5,310,6.1,11,1.9852,0.6815,49.0,3.9,15.5,31.3,0.3,false
RACE,ok,equity,eu_equity,H4,0.87,6.92,8.0,0.44,3.72,0.39,13,0.52,26.4,21.0,27870.53,5455.64,5.46,4.99,5.11,2.04,0.5854,22.3,94,4.1,8,5.3155,0.7753,31.9,3.2,45.7,11.7,7.4,true
V,ok,equity,us_equity,H4,0.71,7.86,11.1,0.71,3.92,0.34,34,1.78,10.9,5.5,89538.02,22903.37,22.9,3.49,3.91,1.92,0.4819,17.5,80,6.0,8,5.4791,0.5781,50.0,0.0,32.5,15.0,2.5,false
AAPL,ok,equity,us_equity,H4,1.58,4.94,3.1,0.45,3.99,1.59,28,2.54,9.6,4.2,59198.13,16868.52,16.87,3.73,3.51,1.99,0.7887,25.4,67,6.9,8,5.9692,0.9727,31.3,11.9,43.3,9.0,4.5,false
USD_JPY,ok,forex,forex,H4,0.54,4.93,9.1,0.33,1.33,0.39,21,1.49,4.0,0.5,122116.07,34891.63,34.89,2.19,3.5,1.24,0.0222,25.9,501,2.1,34,0.5456,0.1612,47.7,0.8,26.3,25.1,0.0,false
PFE,ok,equity,us_equity,H4,2.05,7.68,3.7,0.74,2.88,2.0,32,1.75,19.3,13.9,29737.2,11508.97,11.51,3.88,2.58,2.27,0.9218,40.8,49,9.4,8,4.0526,1.2373,20.4,2.0,38.8,32.7,6.1,false
US100.cash,ok,index,us_idx,H4,0.56,7.07,12.5,0.41,1.25,1.14,24,2.71,3.6,0.6,192186.82,75997.08,76.0,1.74,2.53,1.25,0.0713,22.7,453,2.9,34,1.1794,0.2548,50.1,0.4,27.2,21.9,0.4,false
TSLA,ok,equity,us_equity,H4,1.45,7.85,5.4,0.37,3.26,0.81,35,2.24,10.9,5.5,60416.27,24333.81,24.33,4.21,2.48,1.99,1.1481,21.4,84,5.2,8,11.5597,1.6914,27.4,2.4,51.2,19.0,0.0,false
EU50.cash,ok,index,eu_idx,H4,0.74,3.98,5.4,0.34,2.89,1.33,8,2.57,6.1,3.1,139490.48,59843.43,59.84,2.43,2.33,1.32,0.0631,22.4,340,3.0,26,1.2185,0.2696,38.5,3.5,38.8,3.8,15.3,false
DBKGn,ok,equity,eu_equity,H4,0.58,7.08,12.2,0.65,2.98,1.04,26,0.7,15.9,10.5,47940.86,21284.15,21.28,2.85,2.25,1.58,0.2236,15.9,176,3.9,14,4.9837,0.677,50.6,1.7,33.5,11.9,2.3,false
META,ok,equity,us_equity,H4,2.46,7.39,3.0,1.42,1.57,1.68,36,1.19,10.7,5.3,12314.96,5613.54,5.61,2.44,2.19,1.65,1.2236,58.7,46,11.3,8,4.4534,3.3662,28.3,6.5,2.2,60.9,2.2,true
NERUSD,ok,crypto,crypto,H4,2.88,9.22,3.2,2.0,2.59,1.19,44,3.0,53.9,31.4,39298.62,18995.83,19.0,1.77,2.07,1.46,1.4826,54.8,73,16.5,16,8.3399,6.8292,34.2,2.7,8.2,50.7,4.1,false
LNKUSD,ok,crypto,crypto,H4,1.23,8.27,6.7,1.54,3.65,0.85,17,1.16,24.4,1.9,24433.87,11947.13,11.95,1.73,2.05,1.33,0.593,32.8,122,8.0,16,6.6708,2.3718,44.3,0.0,20.5,11.5,23.8,false
AAVUSD,ok,crypto,crypto,H4,1.63,7.35,4.5,1.76,4.55,2.41,11,3.0,23.1,0.6,51852.61,27078.45,27.08,1.86,1.91,1.35,0.3782,41.1,124,7.5,16,5.1043,2.9236,34.7,0.8,9.7,0.0,54.8,false
MSFT,ok,equity,us_equity,H4,1.08,7.71,7.2,1.13,3.55,1.48,35,1.39,8.8,3.4,48801.52,25826.38,25.83,3.31,1.89,1.91,0.4885,24.3,70,7.1,8,4.7584,0.8811,45.7,1.4,30.0,22.9,0.0,false
FRA40.cash,ok,index,eu_idx,H4,0.65,7.6,11.8,0.9,3.0,0.34,36,1.84,5.0,2.0,78744.78,47076.8,47.08,1.38,1.67,1.21,0.0883,16.3,294,4.4,26,2.0649,0.2974,56.1,0.0,27.6,16.3,0.0,false
BAC,ok,equity,us_equity,H4,1.44,7.68,5.3,0.43,1.85,1.8,36,1.56,24.4,19.0,24453.19,16193.74,16.19,1.97,1.51,1.44,0.4463,26.0,73,6.1,8,5.0493,1.1733,31.5,6.8,39.7,20.5,1.4,false
USOIL.cash,ok,commodity,oil,H4,0.87,7.77,8.9,0.91,1.63,0.97,25,2.52,9.9,3.9,78193.58,53565.85,53.57,1.03,1.46,1.13,0.0861,31.6,386,4.1,34,1.9274,0.7648,49.0,0.0,19.2,31.1,0.8,false
GOOG,ok,equity,us_equity,H4,1.64,7.27,4.4,1.39,1.61,1.21,33,3.0,10.4,5.0,42355.81,30454.69,30.45,2.9,1.39,1.49,0.636,57.1,63,7.2,8,3.0712,2.6111,38.1,3.2,4.8,52.4,1.6,false
HK50.cash,ok,index,apac_idx,H4,1.53,6.2,4.1,1.46,3.87,1.41,23,2.33,5.6,2.6,52193.61,44464.63,44.46,0.98,1.17,1.17,0.0952,27.2,224,8.5,30,2.699,0.8793,50.0,4.0,21.9,13.8,10.3,false
XCU_USD,ok,commodity,metals,H4,0.58,3.53,6.1,1.23,3.58,0.51,33,2.66,12.5,8.3,85508.66,74288.92,74.29,1.31,1.15,1.26,0.1241,15.7,159,6.1,17,3.734,0.5494,59.1,12.6,25.2,0.0,3.1,false
XAG_AUD,ok,commodity,metals,H4,0.91,6.56,7.2,0.45,3.26,1.63,32,1.03,8.3,4.1,30505.81,31724.64,31.72,0.97,0.96,1.18,0.0519,15.0,339,5.1,34,3.375,0.5365,36.3,2.7,48.7,11.5,0.9,false
ETCUSD,ok,crypto,crypto,H4,1.65,6.99,4.2,0.44,2.8,1.88,19,2.09,26.5,4.0,16616.14,23884.54,23.88,0.99,0.7,1.18,0.1197,21.1,147,5.5,16,5.5892,1.3419,24.5,1.4,54.4,12.2,7.5,false
GER40.cash,ok,index,eu_idx,H4,0.92,7.58,8.3,1.24,4.0,1.75,35,2.96,3.7,0.7,95391.99,136279.15,136.28,0.87,0.7,1.17,0.0677,17.5,275,7.3,33,2.1587,0.3744,56.4,2.9,26.2,11.3,3.3,false
