trade_num,equity
0,100000.0
1,99561.57039517735
2,99125.06299553854
3,98143.33928685453
4,97967.09526670672
5,97791.16774235845
6,96742.42071918129
7,96568.69244306725
8,96395.27614502548
9,96222.17126481142
10,96049.37724318662
11,95876.8935219169
12,94893.73078277688
13,94723.32235036051
14,94553.21993430158
15,97057.56938225291
16,96883.27516791294
17,96709.29394794678
18,96535.62516028484
19,95000.64459784477
20,94830.04417154768
21,91588.39888584506
22,91423.92610821353
23,95507.97045891301
24,95336.45898608
25,95165.25551042432
26,94994.35947885025
27,93053.68910673015
28,90692.84917828075
29,89102.10581369749
30,84338.25298087086
31,84186.79988313036
32,73812.93591915118
33,73680.38399397895
34,73548.07010313834
35,73415.99381917164
36,68459.43890536115
37,68336.50069256529
38,74506.98543426547
39,74373.18714762221
40,74239.6291335038
41,74106.3109604332
42,73973.23219770823
43,78143.78760587786
44,88286.00659462184
45,84391.49062943336
46,84239.94192849376
47,84088.66537594951
48,83937.66048308149
49,83786.9267620482
50,83636.4637258842
51,81171.97286705751
52,81026.20571744377
53,77247.39756715366
54,71977.4118335515
55,71848.15610908197
56,71719.13249968694
57,80421.23121883936
58,80276.81223739612
59,80132.6526009279
60,76023.49579848108
61,75886.97419016232
62,79729.19491577584
63,89704.61951067482
64,89543.52958971562
65,81052.79576263379
66,72263.55712659455
67,72133.78754762243
68,72004.25100649534
69,69157.72867333736
70,69033.53648450164
71,68909.56731773539
72,68785.82077253962
73,68662.29644913459
74,68538.99394845845
75,66875.23043247832
76,66755.13711238778
77,66635.2594536929
78,72473.13340320173
79,72342.98747097136
80,72213.07525243434
81,72083.39632789188
82,71953.95027839887
83,71824.73668576255
84,71695.7551325411
85,68493.016873008
86,68370.01836150975
87,68247.24072849695
88,68124.68357732004
89,68002.34651204177
90,71701.52906591917
91,71572.76876669613
92,68636.00774416827
93,68512.75245226941
94,68389.71849997758
95,73130.12748160196
96,72998.80173137852
97,72867.71181354408
98,69736.62559740222
99,69611.39383601997
100,69486.3869635526
101,69361.60457614872
102,69237.04627068213
103,69112.71164475057
104,68988.60029667441
105,68864.71182549535
106,68741.04583097511
107,68617.60191359418
108,68494.37967455045
109,66520.147006365
110,66400.6913386201
111,66281.4501871864
112,64879.13709577527
113,64762.62832372239
114,63332.753518756996
115,63219.02171415076
116,63105.49414704661
117,62992.17045067856
118,66395.33655147195
119,66276.10501606742
120,66157.08759448133
121,66038.28390221197
122,65919.69355544815
123,65801.31617106787
124,65683.15136663718
125,63816.73493677636
126,63702.13400715962
127,63587.73887580382
128,63473.5491731402
129,63359.56453026365
130,61115.56697261376
131,58546.90825070581
132,58441.770779815706
133,58336.82211287982
134,60142.104204444855
135,60034.10210973154
136,67285.48493299888
137,67164.65488535269
138,71131.03790208277
139,68389.17875835692
140,68266.36671745263
141,76113.85130547259
142,79630.20734150088
143,79487.20886632112
144,79344.4671851971
145,79201.98183698277
146,81754.76946650395
147,81607.95574137768
148,80140.87795654977
149,79996.96242838586
150,76686.53092212879
151,76548.818647418
152,80674.36363207188
153,80529.49008005399
154,79165.96307467118
155,77590.6572833704
156,81266.35627830219
157,81120.41963667856
158,80974.74506541644
159,80829.33209389464
160,80684.18025233713
161,78360.99443745686
162,78220.27519168031
163,78079.8086469609
164,77939.59434950266
165,77799.63184632456
166,75891.98281005817
167,72738.51647237055
168,72607.89397006086
169,79506.77941289084
170,79364.00258733596
171,79221.48215780247
172,74724.8325021936
173,69680.99831214399
174,65149.07405636527
175,59959.697599541476
176,59852.0230672851
177,59744.54189499152
178,59637.25373542843
179,59530.15824198708
180,59423.255068681174
181,59316.5438701457
182,52682.40229151708
183,52587.79619355496
184,52493.35998749948
185,52399.093368261856
186,52304.99603130116
187,52211.06767262337
188,52117.30798878036
189,52023.71667686894
190,57128.45396001726
191,57025.86372349276
192,64012.44349661765
193,63897.491117135694
194,65261.6469824973
195,65144.45130616063
196,65027.466087683766
197,64910.69094913033
198,62401.03336849927
199,62288.974729959395
200,58472.9237541898
201,58367.91914331025
202,58263.10309779735
203,63708.76066713906
204,63594.35363574803
205,61232.186373141354
206,61122.22672873492
207,61012.464547854026
208,60902.89947589728
209,60793.531158900056
210,60684.35924353339
211,60575.38337710282
212,62810.18073066999
213,62697.38735275334
214,62584.796527129234
215,62472.40789005795
216,60768.32463533027
217,58437.75047222
218,58332.80902487923
219,58228.056029477164
220,58123.49114759525
221,56027.114781704084
222,59911.58091207906
223,59803.99278689316
224,63732.425169056834
225,63617.97564138452
226,63503.73164008829
227,60407.363726026044
228,60298.8852830979
229,60190.60164378068
230,65409.239257052184
231,70808.57278550572
232,74946.80446989727
233,72172.43335926686
234,72042.8274186955
235,71913.4542221103
236,70178.65330973151
237,70052.62776303888
238,67942.91481302527
239,66299.89972029989
240,66180.83956861756
241,66061.99322298591
242,65943.3602994559
243,69360.10185876697
244,69235.54625185287
245,69111.21431962779
246,68987.1056604208
247,68863.21987328229
248,72601.40330500565
249,70688.80500302491
250,68457.19372980141
251,72444.48071240807
252,72314.38623415766
253,70279.61969214593
254,68070.38286676147
255,67948.14331370965
256,71302.82895435128
257,74883.61749169888
258,74749.14285607054
259,74614.90970754222
260,74480.9176124558
261,74347.16613793188
262,72809.96955414322
263,72679.21873769142
264,72548.70272117303
265,75838.48498618187
266,75702.29561690823
267,74563.84953093596
268,73366.64833595656
269,71574.82338850257
270,68733.05742096255
271,70767.95916163162
272,70640.87535022953
273,69433.93667609822
274,67802.2164432903
275,65569.703843834
276,65451.954964599696
277,65334.417536656896
278,65217.09118028521
279,63413.64787307022
280,63299.770799856706
281,63186.098225016
282,63072.62978131365
283,62959.36510217467
284,62846.30382168238
285,61336.100024908
286,61225.953774259426
287,61116.00532224048
288,61006.254313647994
289,60896.70039391666
290,59699.762697256134
291,59592.55495136029
292,57805.98200409645
293,57702.175075057516
294,60137.049091252
295,60029.05607441883
296,59921.25698947725
297,58316.98314934975
298,58212.25857376655
299,58107.72206066771
300,58003.373272334036
301,57899.21187165282
302,55298.36496567559
303,55199.06116961597
304,55099.93570150362
305,55000.98824110047
306,54902.218468743515
307,52461.41791931912
308,52367.20866106543
309,52273.168582080856
310,52179.29737855636
311,52085.59474722846
312,51992.06038537828
313,51898.693990830565
314,51805.49526195269
315,51712.463897653695
316,54395.04985585713
317,54297.368216609895
318,54199.86199227029
319,54102.53086783143
320,54005.374528852095
321,53908.39266145574
322,53811.58495232948
323,56726.6402260863
324,56624.771559342626
325,56523.08582649426
326,58416.943324361506
327,58312.03924211767
328,58207.323544712985
329,55373.783146433314
330,52732.664986145275
331,52637.96862735212
332,52543.442322554365
333,52449.08576637213
334,52354.89865397396
335,52260.88068107579
336,52167.031543939986
337,52073.35093937436
338,49597.56115173819
