trade_num,equity
0,100000.0
1,102103.07212428511
2,104250.37337216968
3,91313.56442904353
4,91173.76591461913
5,84678.85738847473
6,84549.21642505289
7,79213.12929699392
8,79091.85621048296
9,78970.7687896772
10,73086.36095924058
11,72974.46778377784
12,72862.7459136387
13,67865.93223110314
14,74615.5594996041
15,74501.32516392558
16,86230.74662840132
17,86098.729765937
18,74235.26602712803
19,74121.61391012458
20,81090.65654812692
21,80966.50901988169
22,80842.5515580316
23,75212.81471570124
24,69577.17733154216
25,63846.98684351602
26,63749.23889153312
27,77966.52350904404
28,101292.22391250076
29,101137.14834936563
30,100982.31020258243
31,100827.70910867339
32,100673.34470471716
33,94610.12900437553
34,94465.28354174341
35,94320.65983346535
36,87532.12864075435
37,87398.1193988099
38,99675.23675542326
39,99522.63675442192
40,99370.27037975611
41,107398.03969915929
42,107233.61630274591
43,99835.02362979937
44,99682.17899956027
45,99529.56837017724
46,99377.19138340147
47,111862.67805928251
48,111691.41942635099
49,111520.42298559887
50,111349.68833561725
51,98293.23231694954
52,89468.84890890222
53,97845.79468210232
54,97695.99550577227
55,89731.05209248052
56,89593.67636020348
57,100863.0723912832
58,129728.97527781146
59,129530.36384329967
60,129332.05647734183
61,112491.90263099626
62,123597.70109499282
63,114592.62743828482
64,105999.05715790224
65,105836.77556465026
66,97790.69307209714
67,89436.76501939213
68,89299.83983239705
69,78073.55402705014
70,77954.02559842006
71,77834.68016447275
72,87791.8848635522
73,80515.16466130248
74,88253.67063725324
75,103159.8586696014
76,103001.9238098638
77,119971.65805197642
78,140504.1092317152
79,144654.37672399296
80,144432.91491711413
81,140516.12768426797
82,140301.00142098215
83,140086.20450999145
84,139871.73644706674
85,139657.5967287508
86,139443.7848523572
87,135466.2932563181
88,131101.92677752362
89,136802.17086041678
90,136592.73056120274
91,142031.62027633033
92,137631.31944046693
93,145131.7941136066
94,140474.82356907803
95,137275.82879837335
96,137065.66334209766
97,136855.81964326024
98,136646.29720925944
99,136437.0955482478
100,136228.21416913084
101,133289.48796049907
102,133085.425480606
103,132881.675414665
104,135142.6926183164
105,134935.79293389947
106,134729.2100071154
107,134522.94335301712
108,134316.99248739998
109,132077.4138977057
110,129645.27364032088
111,129446.79035067616
112,129248.61093339919
113,129050.73492326986
114,127072.29093838758
115,126877.74681333051
116,128623.14522225334
117,130892.51430415598
118,130692.12152392216
119,132854.21921817804
120,132650.8231225613
121,136182.06355738206
122,135973.57262511356
123,135765.4008866339
124,135557.5478532663
125,135350.01303708216
126,135142.79595089986
127,134935.89610828363
128,133627.1565730155
129,133422.57713191636
130,134695.75359539152
131,136930.71139516117
132,136721.07430398185
133,134719.86990046385
134,133312.7060456096
135,133108.6080194773
136,134757.1707046602
137,134550.86124351562
138,134344.86763638858
139,134139.1893997154
140,135948.73074835906
141,138393.22353288208
142,138181.34737650517
143,137969.79559660057
144,137758.56769655697
145,137547.66318052335
146,137337.08155340786
147,137126.82232087656
148,136916.88498935234
149,136707.2690660138
150,136497.97405879397
151,136288.99947637925
152,136080.3448282082
153,133699.33018762525
154,133494.6402507398
155,133290.2636884255
156,131595.49040720615
157,129628.98434629453
158,132086.45371011068
159,134316.89908614272
160,136254.32581650835
161,136045.72425274126
162,139077.0857407256
163,142807.44871264006
164,139760.46048360755
165,139546.49112568088
166,137259.9865297813
167,137049.84532757595
168,134543.90015492451
169,134337.9172050295
170,134132.2496092724
171,136447.76747879392
172,138245.07803818313
173,138033.42868841713
174,136392.8092610542
175,136183.99568300488
176,133931.9244265145
177,131479.67981170164
178,131278.3880974903
179,131077.4045552662
