symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
LVMH,ok,equity,eu_equity,M30,1.5,4.5,3.0,1.0,2.0,0.5,24,0.8,7.8,2.4,63579.47,8461.34,8.46,6.21,7.51,1.42,0.134,37.4,449,7.5,6,1.387,0.6152,35.4,4.0,26.1,30.7,3.8,true,true,254,195
AMZN,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,1.2,10.3,4.9,43578.44,7965.68,7.97,4.53,5.47,1.41,0.2396,37.5,200,7.4,7,2.3285,1.0137,40.0,4.0,22.5,31.5,2.0,true,true,98,102
BCHUSD,ok,crypto,unknown,H4,1.5,6.0,4.0,1.0,3.0,1.0,30,0.6,39.5,17.0,31972.3,9021.0,9.02,1.27,3.54,1.3,0.6665,26.8,257,11.9,48,8.8692,2.3441,51.8,4.7,21.4,14.8,7.4,true,true,19,238
JP225.cash,ok,index,apac_idx,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.8,4.3,1.3,23539.19,9209.49,9.21,1.46,2.56,1.25,0.0601,30.3,323,4.4,34,1.4491,0.5449,31.6,1.2,36.5,26.6,4.0,true,true,21,302
MSFT,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.7,8.8,3.4,19052.38,8607.61,8.61,3.02,2.21,1.26,0.09,33.5,230,5.9,7,1.4203,0.5794,37.4,1.3,28.3,32.2,0.9,true,true,94,136
CAD_JPY,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.4,4.9,1.4,19507.91,9118.4,9.12,1.72,2.14,1.42,0.0706,28.5,253,8.2,34,0.9938,0.2966,32.0,2.0,37.5,23.3,5.1,true,true,25,228
US100.cash,ok,index,us_idx,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.6,3.6,0.6,15374.32,8609.92,8.61,1.02,1.79,1.17,0.1172,22.7,331,5.4,34,1.8264,0.3836,37.5,1.8,39.6,20.2,0.9,true,true,29,302
BABA,ok,equity,us_equity,H1,1.5,4.5,3.0,1.0,2.0,0.5,24,0.5,13.3,7.9,16325.69,9629.68,9.63,2.61,1.7,1.24,0.1322,32.5,237,5.1,7,2.6145,1.0624,46.8,4.2,20.7,27.8,0.4,true,true,99,138
US30.cash,ok,index,us_idx,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.4,3.5,0.5,14746.13,9324.8,9.32,1.06,1.58,1.18,0.0294,25.7,331,5.2,34,1.1199,0.3474,50.5,1.8,23.0,21.8,3.0,true,true,26,305
AUS200.cash,ok,index,apac_idx,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.6,4.6,1.6,10875.85,8417.01,8.42,0.83,1.29,1.18,0.0201,23.6,250,7.8,33,1.2701,0.3659,34.0,2.0,40.8,13.2,10.0,true,true,30,220
NZD_USD,ok,forex,forex,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,1.2,4.9,1.4,4076.95,7304.73,7.3,0.44,0.56,1.09,0.0099,24.6,114,7.7,34,0.989,0.3089,28.1,3.5,43.9,18.4,6.1,true,true,10,104
UKOIL.cash,ok,commodity,oil,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.7,8.7,2.7,852.39,9378.22,9.38,0.07,0.09,1.01,0.0201,27.4,314,5.9,34,1.9132,0.694,26.4,1.9,43.6,23.6,4.5,true,true,27,287
XAG_AUD,ok,commodity,metals,H4,1.5,6.0,4.0,0.8,2.5,1.0,30,0.3,8.3,4.1,87.91,8334.87,8.33,0.02,0.01,1.0,0.0176,21.5,237,6.1,34,2.7673,0.7364,41.4,0.8,37.1,17.7,3.0,true,true,17,220
