symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
HK50.cash,H1,ok,index,bars,14193,85,26787,400,0.00004093955680650902,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,5.0,0.0,2.0,1.5
HK50.cash,H4,ok,index,bars,4180,91,7536,400,0.0001863429847951575,1.2520475364272416,4.153550020831903,0.8599645777568308,2.019081548051133,0.3432883401403714,11,5.0,0.0,2.0,1.5
ICPUSD,H1,ok,crypto,bars,7988,46,14824,400,-0.0011890141834134651,2.9256721184120185,4.50340580461919,0.48925352055811133,4.27903043511304,1.9849777347573312,45,37.5,6.5,15.0,8.0
ICPUSD,H4,ok,crypto,bars,2138,45,3879,400,-0.0014253616376866322,1.7399498655137906,7.754591050669072,0.5537691532451001,4.043256924799545,0.54080424565029,13,37.5,6.5,15.0,8.0
JP225.cash,H1,ok,index,bars,11725,96,29801,400,0.000016896057199313407,0.5321647752807445,7.856637168483454,0.7640068334386675,1.6830722757704493,0.32658799107345116,17,5.0,0.0,2.0,1.5
JP225.cash,H4,ok,index,bars,3076,96,7957,400,0.0002819890404395982,0.5001478522912148,7.987588523480876,0.6329889420250622,3.0272769624462788,1.7051536105863372,35,5.0,0.0,2.0,1.5
LNKUSD,H1,ok,crypto,bars,20997,130,40023,400,-0.0004947900427233982,1.3696429311933234,9.571536657475793,1.2243777317395894,3.0113741669054845,0.5927559959213929,45,37.5,6.5,15.0,8.0
LNKUSD,H4,ok,crypto,bars,5874,137,11289,400,0.001569898234532352,2.2501168088589583,7.461327202841849,1.954684081880774,3.243519325486941,2.458690299767546,30,37.5,6.5,15.0,8.0
LVMH,H1,ok,equity,bars,7741,43,14196,400,0.0005326168052720183,0.994577862919778,7.318568268010098,0.9327209250862396,2.8551420192350476,0.4129079385046708,30,8.4,0.4,3.0,2.5
LVMH,H4,ok,equity,bars,2641,57,4838,400,0.00044641593968209383,1.589433847288335,5.886822098592694,0.8522442620009824,1.869728124392475,0.46630723023840537,18,8.4,0.4,3.0,2.5
MANUSD,H1,ok,crypto,bars,22984,145,44783,400,-0.00007021606697413261,1.612613486048774,9.874781675911832,1.185065298018485,4.996710273226145,1.0611394382794384,46,37.5,6.5,15.0,8.0
MANUSD,H4,ok,crypto,bars,5770,139,11372,400,0.0003487294688087183,2.0005788698239932,7.6257149276759515,0.9212237069503019,2.9440303368876823,0.5029506755291765,40,37.5,6.5,15.0,8.0
META,H1,ok,equity,bars,6425,35,11740,400,0.0011353327956789459,1.9990652767339745,7.537659023246662,0.8826180736581861,1.4750419471832,1.5785629645622494,34,8.4,0.4,3.0,2.5
META,H4,ok,equity,bars,1978,40,3453,400,0.005303968645257372,2.412068045526984,7.6369305906920015,0.31697674709723656,2.0512422397022947,1.5490021825295277,32,8.4,0.4,3.0,2.5
MSFT,H1,ok,equity,bars,8682,50,16008,400,0.002350559334597139,1.6541264717493154,4.612224117518822,0.9893751009542213,1.009697085384687,0.30182055314223133,36,8.4,0.4,3.0,2.5
MSFT,H4,ok,equity,bars,2475,53,4541,400,0.0018689176678609474,2.2483139079402266,4.4759990758777555,0.8972374089037498,1.156103105864378,0.3008329760956693,15,8.4,0.4,3.0,2.5
NERUSD,H1,ok,crypto,bars,20163,124,38400,400,-0.0010076513513695034,2.1839626000838535,8.01935442416835,0.5126115073597032,4.847216469385719,2.4648603156578845,48,37.5,6.5,15.0,8.0
NERUSD,H4,ok,crypto,bars,5383,122,10045,400,0.00018722059903813714,1.216380497859162,6.042188396628138,0.42579998656675894,2.5686138162723666,0.5412258696369161,23,37.5,6.5,15.0,8.0
NVDA,H1,ok,equity,bars,5062,26,9051,400,0.005318597331482009,0.64965703777505,7.401507490800186,0.5703010902858309,3.0740285675457883,0.33375395315409595,24,8.4,0.4,3.0,2.5
NVDA,H4,ok,equity,bars,1621,31,2754,400,0.008804702297179558,0.501031436298967,6.144017375576014,0.5418081837669468,1.9978154298174713,0.5804850435211178,23,8.4,0.4,3.0,2.5
NZD_USD,H1,ok,forex,bars,7544,203,62160,400,-0.00025300287016561665,0.6221929118978752,7.4693118627614155,0.9867409385245307,1.0034162015656087,0.30095974071616033,11,5.5,0.5,2.0,1.5
NZD_USD,H4,ok,forex,bars,1951,191,15575,400,0.00013079415477188202,2.2110049241319514,7.795907910896689,1.4184964326532743,3.999549049434329,1.8185601177673543,33,5.5,0.5,2.0,1.5
PFE,H1,ok,equity,bars,6390,35,11741,400,0.0015083412534778555,0.5017265386021381,6.050556387949566,1.4780645356045834,1.798582529292151,0.33253515434093184,17,8.4,0.4,3.0,2.5
PFE,H4,ok,equity,bars,1906,40,3453,400,0.0017586795601344828,0.5231449521628587,6.558619865606357,1.1999072057996867,3.7307865376567255,1.6011785596637627,35,8.4,0.4,3.0,2.5
RACE,H1,ok,equity,bars,2996,29,9883,400,0.00021990055895172955,0.5008073314905978,7.147781737720125,1.045895698372744,1.6098883728126272,1.9388264959944526,36,8.4,0.4,3.0,2.5
RACE,H4,ok,equity,bars,674,33,2912,400,0.0013372038781591365,0.8733662001101069,7.820562629861452,1.1636901858770683,3.5439645603704104,1.3323937926429876,16,8.4,0.4,3.0,2.5
SANUSD,H1,ok,crypto,bars,20192,127,39223,400,-0.0014508128438594035,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
SANUSD,H4,ok,crypto,bars,5895,140,11499,400,0.00008590559485143173,0.9403665750453166,8.696507676782797,1.843528485471663,2.8681360789842416,0.5636817222764159,47,37.5,6.5,15.0,8.0
SOLUSD,H1,ok,crypto,bars,3755,19,6947,400,-0.0007133104028213734,1.9486067938800409,4.918106308040667,1.9307791431589438,2.212909870071808,1.2435267606325875,18,37.5,6.5,15.0,8.0
SOLUSD,H4,ok,crypto,bars,1099,20,1907,400,0.0009885153723304641,0.8400802969457343,8.343116750191971,1.5798264712248142,1.901640092969865,2.456231265055713,33,37.5,6.5,15.0,8.0
TSLA,H1,ok,equity,bars,6321,35,11735,400,0.004823350402223143,0.5024254628974569,5.372660468837894,1.0689350938497453,3.9412914751846198,0.4548833090052415,32,8.4,0.4,3.0,2.5
TSLA,H4,ok,equity,bars,1938,40,3452,400,0.0013950842685744452,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,8.4,0.4,3.0,2.5
US100.cash,H1,ok,index,bars,15396,96,29822,400,0.00005022968920852077,0.5005454944371107,7.064818104304873,1.2279927817005587,1.6786225904774308,0.30024792431733804,33,5.0,0.0,2.0,1.5
US100.cash,H4,ok,index,bars,4569,96,7990,400,0.00021713117058119315,0.6023489701323858,4.835498475643732,0.5940351321955549,3.010801462409022,0.39409178892353997,17,5.0,0.0,2.0,1.5
USDILS,H1,no_data,index,,,,,,,,,,,,,,,,
USDILS,H4,no_data,index,,,,,,,,,,,,,,,,
USDNOK,H1,no_data,index,,,,,,,,,,,,,,,,
USDNOK,H4,no_data,index,,,,,,,,,,,,,,,,
USOIL.cash,H1,ok,commodity,bars,5367,97,30396,400,-0.00012108536697018152,0.5004557334771792,4.91152937029932,0.8806383136056083,2.7052860339255758,0.6760914163053561,32,10.0,0.0,4.0,3.0
USOIL.cash,H4,ok,commodity,bars,4556,98,8092,400,0.0007361570794182093,2.458137681646216,7.130429452353993,1.3560366934394956,3.947878586285608,1.8535002404518308,35,10.0,0.0,4.0,3.0
V,H1,ok,equity,bars,3233,29,9841,400,0.0008507564895353888,2.4566614357901355,7.797589708188746,0.9095753539247695,3.646546919311033,0.6517754022638884,35,8.4,0.4,3.0,2.5
V,H4,ok,equity,bars,1631,33,2912,400,0.0029370918923931314,0.5009345940136493,6.679101612838386,0.9243120503963608,3.061385179135861,1.5536830715397523,35,8.4,0.4,3.0,2.5
VECUSD,H1,ok,crypto,bars,20224,127,39143,400,-0.0022321897774594365,1.1863366571262661,7.023628498251501,1.9116501502640948,2.537438653612785,0.6376110481523865,38,37.5,6.5,15.0,8.0
VECUSD,H4,ok,crypto,bars,5397,126,10401,400,0.00037095929315787246,1.7607991416637243,8.706752712973817,0.4186845748690883,4.638290483138365,2.4419203695848397,30,37.5,6.5,15.0,8.0
WHEAT.c,H1,ok,commodity,bars,7436,42,13681,400,0.00001549245690571969,0.5756995530320086,4.992171927235327,0.9165702557079619,3.7624682215186693,0.323339851923763,36,12.0,0.0,4.0,4.0
WHEAT.c,H4,ok,commodity,bars,2523,52,4468,400,0.00016474041464541316,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,12.0,0.0,4.0,4.0
XAG_AUD,H1,ok,commodity,bars,15362,96,29928,400,2.547061521220524e-7,0.5405586607466097,7.1836570858828726,1.166271776275775,3.1414587374544567,0.3004019567264736,36,8.1,0.13999999999999999,4.0,2.0
XAG_AUD,H4,ok,commodity,bars,4263,97,8013,400,0.00014621537873525057,0.6986163269881964,4.502088409539196,0.3014715119560654,2.9236557583246334,0.4463713460889756,24,8.1,0.13999999999999999,4.0,2.0
XMRUSD,H1,ok,crypto,bars,30347,198,60512,400,-0.0007466361786702736,0.8543578268911639,7.390284848092615,1.5030063375181077,4.457534226030625,0.7174751972613174,38,37.5,6.5,15.0,8.0
XMRUSD,H4,ok,crypto,bars,7743,190,15510,400,0.00039034678315368146,0.9277839467700388,9.063233020424546,1.321895519963455,3.9782540222861593,0.5411689885916049,47,37.5,6.5,15.0,8.0
XPDUSD,H1,ok,index,bars,27690,184,56395,400,0.00001812525529787372,1.3701221622074724,4.744640854289642,0.5762254976501306,1.0532496235271809,0.3018578607327355,19,15.0,3.0,2.0,5.0
XPDUSD,H4,ok,index,bars,7726,182,14860,400,0.00018114246973992225,0.9953760940778769,6.267470253498285,1.4960591796632048,3.5522734254282726,0.39000055909413256,36,15.0,3.0,2.0,5.0
XTZUSD,H1,ok,crypto,bars,18678,116,35945,400,-0.0009850432990130208,2.4494242161213493,5.0230683088404575,0.7334203032542462,3.0100162431716315,0.5790182486571955,47,37.5,6.5,15.0,8.0
XTZUSD,H4,ok,crypto,bars,5113,120,9899,400,0.0008985429735485795,1.4755039563379244,9.490571440895273,1.9965447564906562,4.610115259359311,1.4032204452829324,45,37.5,6.5,15.0,8.0
