symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
ALVG,0.55,ok,equity,H4,102,48516.29,28443.5,28.44,1.58,1.71,1.29,19.6,0.1715,6.4,15
AMZN,0.74,ok,equity,H4,81,66049.59,19029.02,19.03,4.35,3.47,1.66,40.7,0.413,4.3,8
BCHUSD,0.69,ok,crypto,H4,14,57693.11,6516.03,6.52,7.02,8.85,5.18,57.1,6.6327,21.0,50
BTCUSD,0.58,ok,crypto,H4,3,5639.35,0.0,0.0,20.32,5639.35,5639.35,100.0,0.7756,7.0,50
DOGEUSD,0.75,ok,crypto,H4,218,-41326.73,66144.4,66.14,-0.6,-0.62,0.87,28.9,-0.0852,16.7,50
EU50.cash,0.64,ok,index,H4,73,24099.44,5359.45,5.36,3.82,4.5,1.88,39.7,0.1516,6.5,27
GER40.cash,0.5,ok,index,H4,324,8411.05,76014.19,76.01,0.19,0.11,1.02,44.4,-0.0042,4.9,34
JP225.cash,0.63,ok,index,H4,196,31930.61,50497.27,50.5,0.85,0.63,1.15,46.9,0.0578,9.8,35
NVDA,0.58,ok,equity,H4,75,51763.53,11709.37,11.71,5.68,4.42,2.59,36.0,1.3296,5.2,8
PFE,0.66,ok,equity,H4,71,9928.62,4700.61,4.7,3.18,2.11,1.46,28.2,0.2409,3.3,8
SOLUSD,0.53,ok,crypto,H4,116,-67857.98,82068.55,82.07,-1.67,-0.83,0.74,18.1,-0.214,9.8,18
TSLA,0.62,ok,equity,H4,91,75684.25,23189.8,23.19,3.63,3.26,1.54,24.2,0.7786,3.8,8
UNIUSD,0.75,ok,crypto,H4,90,30221.21,17961.5,17.96,2.15,1.68,1.39,57.8,1.0476,8.9,18
US30.cash,0.55,ok,index,H4,293,168115.71,54116.67,54.12,1.41,3.11,1.27,18.4,0.0789,6.7,35
USOIL.cash,0.61,ok,commodity,H4,2,1191.57,126.1,0.13,17.27,9.45,10.45,50.0,0.4278,5.0,35
V,0.55,ok,equity,H4,73,32631.43,41206.17,41.21,1.73,0.79,1.26,30.1,0.2096,4.4,8
