symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
AAVUSD,0.5,ok,crypto,H4,124,17672.19,8676.09,8.68,1.9,2.04,1.36,41.1,0.3927,7.5,16
AAVUSD,0.51,ok,crypto,H4,122,17230.75,8676.09,8.68,1.91,1.99,1.35,41.0,0.3931,7.4,16
AAVUSD,0.52,ok,crypto,H4,122,18489.23,8676.09,8.68,2.05,2.13,1.39,41.0,0.4247,7.4,16
AAVUSD,0.53,ok,crypto,H4,121,19185.66,8194.21,8.19,2.15,2.34,1.41,41.3,0.4246,7.4,16
AAVUSD,0.54,ok,crypto,H4,120,18801.63,8468.26,8.47,2.12,2.22,1.4,41.7,0.4154,7.4,16
AAVUSD,0.55,ok,crypto,H4,121,13142.18,8468.26,8.47,1.49,1.55,1.26,40.5,0.2782,7.3,16
AAVUSD,0.56,ok,crypto,H4,120,10210.15,8425.64,8.43,1.15,1.21,1.2,40.0,0.1178,7.2,16
AAVUSD,0.57,ok,crypto,H4,118,11423.45,8096.61,8.1,1.29,1.41,1.23,41.5,0.1715,7.3,16
AAVUSD,0.58,ok,crypto,H4,118,11463.57,8086.11,8.09,1.31,1.42,1.23,40.7,0.1687,7.3,16
AAVUSD,0.59,ok,crypto,H4,116,16126.51,7324.03,7.32,1.84,2.2,1.35,41.4,0.3129,7.4,16
AAVUSD,0.6,ok,crypto,H4,116,8673.46,7324.03,7.32,1.11,1.18,1.19,41.4,0.234,7.4,16
AAVUSD,0.61,ok,crypto,H4,116,7929.91,8015.3,8.02,1.01,0.99,1.17,41.4,0.234,7.4,16
AAVUSD,0.62,ok,crypto,H4,115,1097.53,8013.86,8.01,0.14,0.14,1.02,40.0,0.0676,7.2,16
AAVUSD,0.63,ok,crypto,H4,115,1406.56,8001.87,8.0,0.18,0.18,1.03,39.1,0.0808,7.2,16
AAVUSD,0.64,ok,crypto,H4,114,3367.44,7516.91,7.52,0.45,0.45,1.07,39.5,0.1402,7.1,16
AAVUSD,0.65,ok,crypto,H4,111,1816.12,8088.76,8.09,0.26,0.22,1.04,40.5,0.137,7.0,16
AAVUSD,0.66,ok,crypto,H4,110,3761.43,7397.43,7.4,0.53,0.51,1.08,41.8,0.215,7.0,16
AAVUSD,0.67,ok,crypto,H4,106,4495.65,6891.56,6.89,0.64,0.65,1.1,41.5,0.1989,7.0,16
AAVUSD,0.68,ok,crypto,H4,104,4228.65,6893.66,6.89,0.6,0.61,1.09,41.3,0.1458,6.9,16
AAVUSD,0.69,ok,crypto,H4,100,1788.42,7224.61,7.22,0.27,0.25,1.04,41.0,0.1244,6.9,16
AAVUSD,0.7,ok,crypto,H4,97,-3143.42,8079.59,8.08,-0.54,-0.39,0.93,40.2,0.0193,6.9,16
AAVUSD,0.71,ok,crypto,H4,92,-4364.56,6822.75,6.82,-0.77,-0.64,0.9,39.1,-0.1023,6.8,16
AAVUSD,0.72,ok,crypto,H4,86,-5560.97,7445.61,7.45,-1.05,-0.75,0.87,38.4,-0.0723,6.8,16
AAVUSD,0.73,ok,crypto,H4,84,-5981.55,8582.45,8.58,-1.17,-0.7,0.85,39.3,0.1043,6.8,16
AAVUSD,0.74,ok,crypto,H4,81,-3054.51,7240.93,7.24,-0.61,-0.42,0.92,42.0,0.2614,7.0,16
AAVUSD,0.75,ok,crypto,H4,77,-339.71,6147.79,6.15,-0.07,-0.06,0.99,45.5,0.4225,7.0,16
AMZN,0.5,ok,equity,H4,116,64825.56,9032.06,9.03,9.93,7.18,2.47,42.2,0.5711,2.2,8
AMZN,0.51,ok,equity,H4,116,56290.51,9032.06,9.03,8.87,6.23,2.2,41.4,0.4784,2.2,8
AMZN,0.52,ok,equity,H4,114,58515.91,8576.55,8.58,9.3,6.82,2.3,42.1,0.512,2.3,8
AMZN,0.53,ok,equity,H4,113,60031.86,8576.55,8.58,9.59,7.0,2.38,42.5,0.5344,2.3,8
AMZN,0.54,ok,equity,H4,112,60945.55,8576.55,8.58,9.7,7.11,2.42,42.9,0.5422,2.3,8
