symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
BARUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,27.5,5.0,-39113.11,56066.46,56.07,-2.78,-0.7,0.81,-0.2285,23.8,793,10.2,13,2.7562,1.1625,36.1,0.8,39.3,19.0,4.8,false
VECUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.4,8.9,-41254.53,54849.77,54.85,-2.78,-0.75,0.8,-0.1573,24.8,786,10.2,13,2.6935,1.0979,32.4,0.5,42.2,21.0,3.8,false
UNIUSD,ok,crypto,crypto,M30,2.03,9.19,4.5,1.11,1.95,0.86,36,0.5,25.5,3.0,-19203.56,25284.31,25.28,-2.48,-0.76,0.86,-0.0909,37.0,557,9.0,13,2.1354,1.3974,34.6,0.5,26.9,35.4,2.5,false
LNKUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,24.5,2.0,-22274.31,26709.1,26.71,-3.11,-0.83,0.8,-0.1103,26.3,463,10.8,13,2.6447,1.096,32.6,0.6,40.0,22.7,4.1,false
ETCUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,26.5,4.0,-53352.31,63430.88,63.43,-3.84,-0.84,0.74,-0.1796,23.5,769,10.6,13,2.373,0.9653,33.2,0.7,42.4,19.2,4.6,false
ICPUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,28.5,6.0,-43668.56,51547.47,51.55,-3.75,-0.85,0.77,-0.2261,25.2,739,10.0,13,3.0037,1.3125,32.7,0.1,41.5,22.6,3.0,false
AAVUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,23.2,0.7,-29517.44,34234.01,34.23,-2.43,-0.86,0.84,-0.1149,24.7,778,10.4,13,2.6403,1.0176,32.5,0.6,41.8,20.3,4.8,false
FETUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,25.4,2.9,-61540.81,70675.97,70.68,-4.99,-0.87,0.7,-0.3559,22.7,788,10.2,13,3.1699,1.3921,36.5,0.5,40.0,19.5,3.4,false
XLMUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,25.7,3.2,-42836.39,48954.19,48.95,-3.16,-0.88,0.8,-0.1433,26.6,792,10.2,13,2.368,1.0553,33.3,0.6,39.8,22.1,4.2,false
GRTUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,27.4,4.9,-80717.66,87165.55,87.17,-6.5,-0.93,0.64,-0.2772,22.7,822,9.8,13,2.5952,1.123,34.5,0.1,42.0,20.2,3.2,false
ALGUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,38.2,15.7,-89993.46,94437.53,94.44,-7.32,-0.95,0.61,-0.3141,24.3,789,10.3,13,2.5544,1.2367,35.2,0.9,39.8,19.3,4.8,false
BNBUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,22.8,0.3,-104789.1,110300.65,110.3,-7.16,-0.95,0.61,-0.1877,25.9,798,9.9,13,1.5164,0.7846,34.7,0.9,39.1,22.1,3.3,false
BTCUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,22.7,0.2,-309198.65,327030.94,327.03,-6.35,-0.95,0.59,-0.1941,25.7,2282,10.3,38,1.2397,0.6895,33.6,0.4,39.5,22.3,4.3,false
SANUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,33.7,11.2,-74031.65,78268.62,78.27,-5.73,-0.95,0.68,-0.2798,23.9,773,10.5,13,2.795,1.2472,35.8,0.8,39.6,20.6,3.2,false
MANUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,34.4,11.9,-88309.09,91821.45,91.82,-6.83,-0.96,0.63,-0.3429,23.2,815,9.8,13,2.6817,1.256,35.1,0.2,40.9,21.1,2.7,false
NERUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,54.2,31.7,-82466.52,85675.23,85.68,-8.47,-0.96,0.59,-0.401,26.6,616,9.9,13,2.5468,1.4706,33.3,0.8,39.9,22.7,3.2,false
IMXUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,29.4,6.9,-55745.84,57686.96,57.69,-4.55,-0.97,0.74,-0.2215,22.8,848,9.3,13,3.459,1.306,33.3,0.5,43.6,20.9,1.8,false
DOGEUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,46.9,24.4,-323707.06,329180.68,329.18,-9.05,-0.98,0.54,-0.497,24.2,2234,10.1,38,2.4747,1.4467,35.2,0.2,39.8,20.8,4.0,false
LTCUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,50.5,28.0,-426729.62,434007.97,434.01,-10.98,-0.98,0.48,-0.4503,24.7,2311,10.2,38,2.0405,1.2677,34.1,0.3,40.2,21.6,3.7,false
SOLUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,24.3,1.8,-61408.01,62867.96,62.87,-5.17,-0.98,0.7,-0.2059,24.2,780,10.1,13,2.2221,0.9824,33.3,0.8,41.8,20.1,4.0,false
AVAUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,32.6,10.1,-18788.9,18936.24,18.94,-5.32,-0.99,0.69,-0.1942,29.9,197,12.1,13,2.2564,1.2419,34.0,1.0,34.5,24.9,5.6,false
ADAUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,61.6,39.1,-419028.05,421889.59,421.89,-11.04,-0.99,0.47,-0.5912,23.6,2314,10.1,38,2.3733,1.5067,34.1,0.2,41.4,20.9,3.4,false
DASHUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.3,8.8,-272230.63,276001.54,276.0,-7.02,-0.99,0.61,-0.3621,22.7,2388,9.7,38,2.8916,1.3151,34.3,0.3,42.4,20.1,3.0,false
GALUSD,ok,crypto,crypto,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,31.3,8.8,-75091.81,75646.2,75.65,-6.58,-0.99,0.65,-0.3058,23.6,733,9.6,13,2.7617,1.2534,35.1,0.1,40.4,20.6,3.8,false
XRPUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,62.9,40.4,-619489.33,625838.42,625.84,-15.36,-0.99,0.35,-0.6501,23.1,2337,10.1,38,1.8552,1.4029,34.7,0.2,40.7,21.3,3.2,false
BCHUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,39.4,16.9,-257904.88,259152.31,259.15,-7.52,-1.0,0.6,-0.3294,24.3,2059,10.4,38,2.2067,1.1449,32.9,0.4,42.3,21.6,2.7,false
DOTUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,57.6,35.1,-418243.36,418243.36,418.24,-10.58,-1.0,0.5,-0.5173,24.6,2315,10.0,38,2.357,1.454,35.6,0.4,39.3,21.6,3.1,false
ETHUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,34.6,12.1,-354396.13,354912.42,354.91,-8.17,-1.0,0.56,-0.3496,24.7,2281,10.3,38,1.8999,1.0885,36.8,0.5,37.5,21.4,3.7,false
NEOUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,263.8,241.3,-1979200.78,1979377.47,1979.38,-46.31,-1.0,0.06,-2.6264,10.3,2390,9.7,38,1.9951,3.159,35.6,0.4,41.0,20.5,2.5,false
XMRUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,116.8,94.3,-917383.17,917383.17,917.38,-22.84,-1.0,0.23,-1.0812,21.9,2324,10.0,38,1.5487,1.8205,30.9,0.3,43.5,22.9,2.5,false
XTZUSD,ok,crypto,unknown,M30,2.0,9.0,4.5,1.0,3.0,1.2,40,0.5,72.0,49.5,-152105.09,152340.74,152.34,-12.31,-1.0,0.46,-0.579,25.3,802,9.9,13,2.2232,1.5287,34.0,0.4,40.0,21.9,3.6,false
