symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
EUR_CHF,H1,2026,1,2024-2025,783,35,0.37142857142857144,-12.332611945130497,-33.93769019921802,-0.03910632859510366,0.17450881096239357,cuda,0.9617491010321119,3.0,6.961749101032112
EUR_CHF,M1,2026,1,2024-2025,49116,0,0.0,0.0,0.0,0.0,0.0,cuda,0.9617491010321119,3.0,6.961749101032112
EUR_CHF,M15,2026,1,2024-2025,3165,2,0.5,-3.4691193188392337,0.0,0.0,0.527821189386348,cuda,0.9617491010321119,3.0,6.961749101032112
EUR_CHF,M30,2026,1,2024-2025,1610,14,0.42857142857142855,-5.2608826261151425,-8.126766080084371,-0.009399896843504507,0.45348241732168315,cuda,0.9617491010321119,3.0,6.961749101032112
EUR_CHF,M5,2026,1,2024-2025,9654,9,0.3333333333333333,-10.500743411556765,-14.6023945765251,-0.006931221608159288,0.17677615591536194,cuda,0.9617491010321119,3.0,6.961749101032112
