symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
ADAUSD,error,"(sqlite3.IntegrityError) UNIQUE constraint failed: alembic_version.version_num
[SQL: INSERT INTO alembic_version (version_num) VALUES ('v3.2.0.a') RETURNING version_num]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",,,,,,,,,,,,,,,,,,,,,,,
BTCUSD,ok,,0,H4,-0.022209598417674892,1638,3,0.10416845585459135,0.6503124048996551,0.47152686320267145,85.10251925926808,0.020642902671209228,32.00571649121088,0.1884968216345994,0.8679328097465091,300,8938,cuda,crypto,-0.022209598417674892,6.5,228.95599395593894,8.0,39,false
DOGEUSD,error,"(sqlite3.OperationalError) table alembic_version already exists
[SQL: 
CREATE TABLE alembic_version (
	version_num VARCHAR(32) NOT NULL, 
	CONSTRAINT alembic_version_pkc PRIMARY KEY (version_num)
)

]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",,,,,,,,,,,,,,,,,,,,,,,
DOTUSD,ok,,0,H4,-2.2925844198414413,62,3,0.06871720163103713,0.5726612056498497,0.5832809552510952,61.15861355962055,37.362812265193725,135.8960967794574,0.0050729629874840315,0.5398378820565276,300,5037,cuda,crypto,-2.2925844198414413,6.5,22877.094266794127,8.0,39,false
ETHUSD,ok,,0,H4,-0.11575086493719852,351,5,2.5509465985005493,0.5818774602502871,0.7931986054913587,1.832049693752456,13.376953206787357,74.43762014656502,0.0333441451471718,0.3418079442759798,300,8816,cuda,crypto,-0.11575086493719852,6.5,1173.5905023671658,8.0,39,false
LTCUSD,ok,,0,H4,-0.7800704670590223,57,9,8.892497664667335,0.5763895982286786,0.770358454688111,83.3665397550529,63.12303586431382,8.284580534234236,0.005008370492786272,0.9578921284441697,300,8783,cuda,crypto,-0.7800704670590223,6.5,7775.19083958705,8.0,39,false
XMRUSD,ok,,0,H4,-1.2524332335990316,50,9,4.826367519643501,0.8548413252654001,0.7525628025555697,57.85039179126748,53.027588293334105,1.6009252259830824,0.005370119514413227,0.9847956714198179,300,7651,cuda,crypto,-1.2524332335990316,6.5,12490.620099100923,8.0,39,false
XRPUSD,ok,,0,H4,-1109.629600353871,50,10,0.09892505585085883,0.6949778009251057,0.6984589434583023,53.07583970822938,0.008376315305715585,4.220249272933509,0.005003719472214354,0.4554937744233046,300,8146,cuda,crypto,-1109.629600353871,6.5,11096249.439192524,8.0,39,false
