symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
V,ok,equity,us_equity,H4,0.71,7.86,11.1,0.71,3.92,0.34,34,1.78,11.0,5.6,33947.68,22935.39,22.94,2.46,1.48,1.42,0.207,29.4,68,5.1,8,2.9723,0.9453,50.0,7.4,20.6,20.6,1.5,false,true,23,45
AMZN,ok,equity,us_equity,H4,0.51,6.26,12.3,0.54,1.0,0.56,17,1.06,10.4,5.0,9112.19,6349.92,6.35,2.13,1.44,1.36,0.3212,33.3,75,5.9,8,3.2928,1.1645,28.0,2.7,38.7,29.3,1.3,true,true,37,38
GOOG,ok,equity,us_equity,H4,1.64,7.27,4.4,1.39,1.61,1.21,33,3.0,10.6,5.2,48039.84,37214.03,37.21,3.07,1.29,1.52,0.3594,36.8,68,6.5,8,3.9217,1.7116,38.2,1.5,25.0,35.3,0.0,false,true,25,43
DBKGn,ok,equity,eu_equity,H4,0.58,7.08,12.2,0.65,2.98,1.04,26,0.7,15.4,10.0,14853.3,14003.27,14.0,1.41,1.06,1.3,0.1364,25.4,134,6.6,15,3.9584,1.1631,43.3,2.2,30.6,22.4,1.5,false,true,29,105
ALVG,ok,equity,eu_equity,H4,0.59,5.74,9.7,0.35,3.47,0.33,6,2.01,10.4,5.0,24325.73,29115.19,29.12,0.9,0.84,1.16,0.0641,21.6,153,5.0,15,2.5415,0.6172,43.8,2.6,34.0,17.6,2.0,false,true,36,117
HK50.cash,ok,index,apac_idx,H4,1.53,6.2,4.1,1.46,3.87,1.41,23,2.33,5.6,2.6,65657.31,78851.19,78.85,0.96,0.83,1.18,0.0131,22.9,271,6.2,30,2.4342,0.7051,45.4,1.5,31.4,19.2,2.6,false,true,28,243
EUR_JPY,ok,forex,forex,H4,1.75,6.32,3.6,1.49,3.58,0.7,22,1.32,4.3,0.8,27867.92,41631.47,41.63,0.63,0.67,1.1,0.0085,29.0,372,5.0,35,0.6419,0.2506,40.6,1.9,27.4,23.4,6.7,false,true,24,348
PFE,ok,equity,us_equity,H4,2.05,7.68,3.7,0.74,2.88,2.0,32,1.75,20.4,15.0,12789.47,20658.7,20.66,1.05,0.62,1.19,0.1977,24.3,70,6.3,8,4.2539,1.1033,42.9,2.9,32.9,17.1,4.3,false,true,27,43
UKOIL.cash,ok,commodity,oil,H4,1.66,7.11,4.3,1.03,2.06,1.78,12,2.17,8.7,2.7,17045.74,29106.8,29.11,0.43,0.59,1.07,0.0362,27.7,318,6.0,35,1.924,0.6861,25.2,2.5,43.1,21.4,7.9,false,true,27,291
US500.cash,ok,index,us_idx,H4,1.57,7.5,4.8,1.13,1.14,1.96,35,2.54,4.0,1.0,36463.33,77827.97,77.83,0.33,0.47,1.06,-0.0356,17.5,348,5.2,35,1.427,0.3464,52.9,0.9,29.6,15.8,0.9,false,true,24,324
ICPUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,2.8,28.5,6.0,16541.16,37405.21,37.41,0.45,0.44,1.1,-0.1511,25.4,122,8.4,18,8.2651,3.0181,40.2,4.1,31.1,18.9,5.7,false,true,21,101
US2000.cash,ok,index,us_idx,H4,1.76,7.92,4.5,1.41,2.39,1.27,19,2.36,7.2,4.2,27753.97,63918.08,63.92,0.4,0.43,1.06,-0.012,28.5,319,5.9,35,1.5859,0.6498,50.8,0.6,18.8,22.3,7.5,false,true,22,297
AUS200.cash,ok,index,apac_idx,H4,1.34,5.79,4.3,1.45,3.77,1.69,28,2.41,4.6,1.6,25540.52,60255.88,60.26,0.49,0.42,1.1,0.0061,23.7,253,8.1,34,1.2595,0.3835,35.2,1.6,38.7,15.4,9.1,false,true,30,223
