symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
AAPL,ok,0,H4,0.003659381606000164,1483,7,0.07951848085114566,0.7372714923690629,0.5049957264080359,0.8415988175694293,0.000048025104268460214,36.615174677608735,0.04927137216428783,0.8773356161214123,600,5364,cuda,equity,0.003659381606000164,0.4,4.301383611728602,2.5,39,false
AAVUSD,ok,0,H4,0.004915727849090999,736,3,0.010098639377361674,0.4108596371026542,0.7676135601017284,0.06607607906281474,0.003321764785321923,22.33821754171565,0.25768040921958835,0.7209612263675427,600,5808,cuda,crypto,0.004915727849090999,6.5,0.651996740015707,8.0,39,false
ADAUSD,ok,0,H4,-0.001866003425789701,743,3,0.026169827616018597,0.7661090327307165,0.8300540949723825,12.574662558962029,0.00969347011183356,15.174464774471963,0.29720523984649067,0.43436454244039807,600,4930,cuda,crypto,-0.001866003425789701,6.5,39.07619858724527,8.0,39,false
AIRF,ok,0,H4,-0.0013221098939131361,1314,8,0.014379127179907835,0.9397024803461278,0.44129162203382605,0.00009125377775273194,0.0033614691119545842,2.6577989422648387,0.2839150647251553,0.5369119667797099,600,2670,cuda,equity,-0.0013221098939131361,0.4,50.12531328320806,2.5,39,false
ALGUSD,ok,0,H4,0.0018635523728894742,625,3,0.05029079037034104,0.43555623672316696,0.8435973406068816,0.07555868665341864,0.013650078473889141,24.79272093430316,0.21498116308969042,0.46071660551374227,600,5380,cuda,crypto,0.0018635523728894742,6.5,15.673981191223021,8.0,39,false
ALVG,ok,0,H4,0.001916471589764166,1320,7,0.29743942077091023,0.5800752988278087,0.5296599138928404,0.008653635110353193,0.0000931352065207491,5.119433775081542,0.2999520171834542,0.3952574678928912,600,2538,cuda,equity,0.001916471589764166,0.4,4.979793530098847,2.5,39,false
AMZN,ok,0,H4,0.012495907234471592,1736,2,0.0015200006051480906,0.44758703665459,0.33640745275294104,0.016800196344191234,0.005129311532248765,0.3002340351975042,0.29965701561629565,0.31942537740133325,600,1820,cuda,equity,0.012495907234471592,0.4,4.98493191036119,2.5,39,false
AUDNZD,ok,0,H4,-0.0010275294066092427,1895,3,0.15163430958075869,0.6812955389625648,0.7729235545287931,0.00032789940332283985,0.011099393719443486,14.929074505741212,0.06024997837187074,0.7546981710110376,600,15647,cuda,forex,-0.0010275294066092427,3.0,1.0817340196345544,5.0,39,false
AUD_CAD,ok,0,H4,6.401045485246317e-6,947,3,0.003567582477330229,0.5215340099780635,0.7942523345055716,0.00003162176614733759,0.0014712236763033098,1.9787074477905326,0.1504259576983837,0.7321189541631508,600,15528,cuda,forex,6.401045485246317e-6,0.5,1.2523410238463322,1.5,39,false
AUD_CHF,ok,0,H4,0.0002611246296554954,816,8,0.0010101495618818617,0.5117924292144698,0.6659809034665756,0.000023695268339686642,0.004889755439625851,3.382497765859202,0.27770054122949295,0.4844574425536266,600,15616,cuda,forex,0.0002611246296554954,0.5,1.5927934943240716,1.5,39,false
AUD_JPY,ok,0,H4,0.0005444795648398531,1649,4,0.013489132295516782,0.9422511453190552,0.8069506542834789,0.000108798560804437,0.00008521792483958081,5.098027472151039,0.11243968513771442,0.9992871271145782,600,16579,cuda,forex,0.0005444795648398531,0.5,1.229734992109247,1.5,39,false
AUD_NZD,ok,0,H4,-0.00007753233205937987,605,7,0.6835425281741729,0.6591989162041982,0.729749729760912,0.2352337872020461,0.22500182631484994,12.331983997364791,0.2832392966088267,0.8329086091356948,600,15647,cuda,forex,-0.00007753233205937987,0.5,1.0817632741359233,1.5,39,false
AUD_USD,ok,0,H4,0.0005808672713951146,1858,3,0.003827550773941078,0.6418638817572235,0.7288314241214319,0.0006416569033155032,0.00008233086137618919,1.4353547558684556,0.0801113099546714,0.45629258173023535,600,16975,cuda,forex,0.0005808672713951146,0.5,0.6353643814734101,1.5,39,false
AUS200.cash,ok,0,H4,0.0010626299803650934,1846,3,0.03694741397045784,0.7223281519912467,0.692264667722562,0.0005268416512121327,0.000033648813338107856,0.7840029733943306,0.2733200529464482,0.7075098866422898,600,5467,cuda,index,0.0010626299803650934,0.0,1.5651289274951652,1.5,39,false
AVAUSD,ok,0,H4,0.0023833511957236575,1169,5,1.7387543642973473,0.8782724425131588,0.8812439480275644,43.52708489743335,0.3811353238723543,2.2828978595030223,0.027188804520422112,0.36821984425451926,600,5271,cuda,crypto,0.0023833511957236575,6.5,10.0654252642172,8.0,39,false
BABA,ok,0,H4,0.023217882170797444,1874,5,0.09799294582539614,0.5015199656838519,0.6676091604110002,0.0031629779455469753,0.0023814684920265452,0.45469120794294776,0.22911431321890302,0.8898626046399755,600,1500,cuda,equity,0.023217882170797444,0.4,8.10600155884617,2.5,39,false
BAC,ok,0,H4,0.000494377504253895,1389,4,0.0347688324027977,0.5149058571045614,0.3976467039555186,0.00003964346705463503,0.043419120424965076,8.00128101700999,0.07160199280056713,0.9100742613705426,600,1580,cuda,equity,0.000494377504253895,0.4,19.000570017100785,2.5,39,false
BARUSD,ok,0,H4,0.005876901442172435,115,3,0.011709519155308813,0.937212571068534,0.3614781244207649,0.0020127534423575563,0.01621396975688079,1.0988688415763805,0.2805917732860153,0.5977891634093007,600,5538,cuda,crypto,0.005876901442172435,6.5,4.9610557126551065,8.0,39,false
