symbol,timeframe,status,cluster,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
AAVUSD,H1,ok,crypto,2887,18,6474,400,0.005056239251888725,1.4956337480482793,9.784610880465122,1.0792480654140455,4.7615626900572074,2.497715753634306,48,23.1,6.5,0.6320113762041969,8.0
AAVUSD,H4,ok,crypto,744,16,1606,400,0.0024593721349059185,0.9541235398607635,7.033116194665997,1.863020070894635,2.5815928036227667,1.9676041670907836,31,23.1,6.5,0.6320113762041969,8.0
AAVUSD,M1,ok,crypto,197852,151,387742,400,-0.0020183961824792374,0.8066244329072201,9.427285072352888,1.672824809443922,3.6980505121605214,1.9082884991407063,31,23.1,6.5,0.6320113762041969,8.0
AAVUSD,M15,ok,crypto,12263,17,26027,400,-0.001449942366355142,1.4476784946672643,9.541300717233105,0.4192068700398589,2.2750140940515324,1.3565281339237782,42,23.1,6.5,0.6320113762041969,8.0
AAVUSD,M30,ok,crypto,5802,12,12991,400,0.00032442725079383916,2.4365513657773326,9.746133116764767,1.3522424652947758,4.112713609202978,2.2324150962378635,48,23.1,6.5,0.6320113762041969,8.0
AMZN,H1,ok,equity,1676,7,3388,400,0.007705126280679315,2.2593658941009256,4.359592289094092,1.2502467194609859,2.3087405120899946,0.3025689938778386,33,10.3,0.4,4.884872438218071,2.5
AMZN,H4,ok,equity,309,8,932,400,0.036088049479521066,2.4126129254997584,7.911760946872223,1.1591532824044242,2.6206942152123394,1.903318718411955,32,10.3,0.4,4.884872438218071,2.5
AMZN,M1,ok,equity,71944,71,188969,400,-0.0008629399737244955,2.2528279500083084,7.531554385337299,1.4759626082157185,1.7119616545439853,0.30001964550141513,36,10.3,0.4,4.884872438218071,2.5
AMZN,M15,ok,equity,3930,6,12709,400,0.0026422457784392637,2.2652181964657947,7.582222151296623,1.163673786927563,2.336490202278757,0.3220007000572589,35,10.3,0.4,4.884872438218071,2.5
AMZN,M30,ok,equity,2008,4,6330,400,0.004619402106745114,1.517942705998558,7.998107262476837,1.4996626264445612,2.1339492682886636,0.3004513644524094,15,10.3,0.4,4.884872438218071,2.5
AVAUSD,H1,ok,crypto,3398,18,6473,400,-0.0003598387479152295,2.1640622437739845,8.104066661479433,1.6093819429885055,3.179783822540756,1.3880906832671505,19,32.4,6.5,9.892827699917936,8.0
AVAUSD,H4,ok,crypto,836,16,1606,400,0.0011976906889397297,2.801749106999462,4.3986243654027595,1.6926894759902715,3.8245148433954888,1.982601988374274,16,32.4,6.5,9.892827699917936,8.0
AVAUSD,M1,ok,crypto,194584,144,370733,400,-0.0030056261660819285,0.8016367773720942,9.676480642216402,1.9735675281925558,4.204803930421827,1.436250849860323,34,32.4,6.5,9.892827699917936,8.0
AVAUSD,M15,ok,crypto,13335,17,26025,400,-0.002059822253543749,0.9001020508558483,8.232917693260225,0.8220726330603366,4.877751691194008,1.9195937849016322,33,32.4,6.5,9.892827699917936,8.0
AVAUSD,M30,ok,crypto,6690,12,12990,400,-0.0002401436351008025,2.209081550989812,9.613145626097726,1.8498176177852501,4.013817816220868,0.5055407217971091,21,32.4,6.5,9.892827699917936,8.0
FRA40.cash,H1,ok,index,3787,26,8832,400,0.00005481311772881653,0.5304399897412924,6.359656419660551,0.45615360393086224,3.5581303950058696,0.4729712480663191,16,5.0,0.0,1.9992239037647894,1.5
FRA40.cash,H4,ok,index,993,26,2370,400,0.00044012696328532536,1.6336485545552042,7.164465336468592,1.194795224946024,3.09212405375186,1.8269812806371197,36,5.0,0.0,1.9992239037647894,1.5
FRA40.cash,M1,ok,index,279604,206,525888,400,-0.00044363061565592726,0.5173034367919233,6.959683021185652,0.577891574629521,1.1293476774018754,0.9549104101058176,33,5.0,0.0,1.9992239037647894,1.5
FRA40.cash,M15,ok,index,13633,25,35458,400,-0.00018368231557391832,1.9933746072195195,7.869240140807936,0.9156712242899043,1.3616181137214545,0.3015930439851374,20,5.0,0.0,1.9992239037647894,1.5
FRA40.cash,M30,ok,index,6786,18,17710,400,0.000020580147892119086,0.533171918355975,5.40023241198169,0.30198908969114263,3.9428061842755935,0.3031400052914523,36,5.0,0.0,1.9992239037647894,1.5
JP225.cash,H1,ok,index,5785,35,11564,400,0.00016029393971790445,0.8385946280562441,7.4245385357721,1.2969603343602207,3.114337760699252,0.38901135967845335,14,4.3,0.0,1.312811763171032,1.5
JP225.cash,H4,ok,index,1333,34,2988,400,0.0005861866761118162,2.4323194821501235,7.993955917405871,1.4251855754227567,3.592463414039871,1.9634191463467692,17,4.3,0.0,1.312811763171032,1.5
JP225.cash,M1,ok,index,322769,270,685166,400,-0.0003451123250266343,0.5864281641973652,5.515776962730662,1.2628276875535134,1.332229978526565,0.33046004610148355,24,4.3,0.0,1.312811763171032,1.5
JP225.cash,M15,ok,index,21657,34,46373,400,-0.00003150015333827281,0.5347937093972933,7.5553190031740804,0.7239658352921795,1.0024797610657292,0.30027792621869315,23,4.3,0.0,1.312811763171032,1.5
JP225.cash,M30,ok,index,10602,25,23168,400,0.000046992777443049486,2.2363055397305787,6.0078661164832265,1.094585767463281,3.9219219801014495,1.910388883616465,35,4.3,0.0,1.312811763171032,1.5
LNKUSD,H1,ok,crypto,147,18,6474,400,0.0007046740700718056,1.1991807884704595,9.283205765786272,1.6695261964647263,1.7627388169620368,0.5663121892554385,33,24.4,6.5,1.9212911076243964,8.0
LNKUSD,H4,ok,crypto,44,16,1606,400,0.13347464175357612,2.2157134117599973,9.997607589550375,0.5374572953739346,3.2011381781155377,1.492536555239218,38,24.4,6.5,1.9212911076243964,8.0
LNKUSD,M1,ok,crypto,376,151,387986,400,-0.001287423819784577,0.8975784592218534,8.492245053006926,0.6417320247663089,4.495214809813179,2.178855939625822,48,24.4,6.5,1.9212911076243964,8.0
LNKUSD,M15,ok,crypto,51,17,26027,400,0.005349170290649725,2.7980352933291766,5.8108321523713995,0.9427407661142421,4.74741822857816,0.6217579080558059,43,24.4,6.5,1.9212911076243964,8.0
LNKUSD,M30,ok,crypto,39,12,12991,400,0.017423869275515175,0.800147884421941,6.240766108955497,1.2515027415142859,2.5341122975012076,0.9279823119317067,17,24.4,6.5,1.9212911076243964,8.0
LVMH,H1,ok,equity,1659,11,4424,400,0.006514511641489106,0.9969312280905598,7.7862433749434246,1.2880330724786737,2.34433192209855,0.40259929769236524,30,7.8,0.4,2.429656764257795,2.5
LVMH,H4,ok,equity,586,14,1443,400,0.008421803058053082,0.9031741891617512,5.923366932316731,0.3270419751802483,3.134265067112775,1.9438657815340814,36,7.8,0.4,2.429656764257795,2.5
LVMH,M1,ok,equity,100166,96,250193,400,-0.0006127340994693151,0.5008571303757582,7.358083702513834,0.37758666949504394,2.587389773310024,0.3000204400979158,20,7.8,0.4,2.429656764257795,2.5
LVMH,M15,ok,equity,6439,10,16837,400,0.00012205444937358514,1.2412565531702238,7.891811101083419,1.4624005986216306,2.865960690557618,0.3017602241296805,36,7.8,0.4,2.429656764257795,2.5
LVMH,M30,ok,equity,3096,6,8398,400,0.004587849817467505,2.460078045342927,7.743976482957611,0.9310800427153691,2.4636642156941053,0.38437838922527456,36,7.8,0.4,2.429656764257795,2.5
NERUSD,H1,ok,crypto,2107,18,6474,400,-0.0009768962185851217,2.1537360379373096,9.76896652253639,0.6149076007281306,3.3995480406398007,1.2490752099571116,45,53.9,6.5,31.41126318151275,8.0
NERUSD,H4,ok,crypto,624,16,1606,400,0.008612698715043965,2.6680314435772723,9.420945767117143,1.8576746289258925,4.238422428609365,1.6376594516876484,18,53.9,6.5,31.41126318151275,8.0
NERUSD,M1,ok,crypto,195420,148,382224,400,-0.005112301995541931,0.8016432521659085,8.282641012598082,1.91725344098279,1.9436643860442542,1.3259957368085018,35,53.9,6.5,31.41126318151275,8.0
