symbol,timeframe,status,cluster,data_source,n_signals,n_folds,rows,trials,best_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon,cost_bps,fee_bps,spread_bps,slippage_bps
FRA40.cash,H1,ok,index,bars,14224,86,27093,400,-0.00001700315615369651,0.6161672243363989,7.197056874649611,1.0213380140918504,3.1242177333881367,0.33499364030286416,36,6.0,0.0,2.0,2.0
FRA40.cash,H4,ok,index,bars,4026,88,7368,400,0.00018428781014036367,2.06668583126074,7.999942144900044,1.0637519861217963,3.136477667754364,1.9322834695950684,36,6.0,0.0,2.0,2.0
FRA40.cash,M1,ok,index,bars,53979,36,100065,400,-0.0005333085782599,0.5003769443525607,7.90659641970068,1.2361971419334483,1.349645036908965,0.3016622430462245,33,6.0,0.0,2.0,2.0
FRA40.cash,M15,ok,index,bars,48044,73,92790,400,-0.00026958343836678016,1.8585278887815997,6.835253395282167,0.30252800080038456,1.0005304786241755,0.3006800405077226,30,6.0,0.0,2.0,2.0
FRA40.cash,M30,ok,index,bars,25609,57,48883,400,-0.0001978443505740216,1.8756511040956272,7.364253521417023,0.36299194841007826,1.3710815861313885,0.30188681558299657,24,6.0,0.0,2.0,2.0
