symbol,timeframe,cluster,optuna_ev,best_atr_sl_mult,best_atr_tp_mult,best_breakeven_atr,best_trail_activation_atr,best_trail_distance_atr,best_horizon
NVDA,H1,equity,0.005454,1.5,4.5,1.0,2.0,0.5,24
TSLA,H1,equity,0.0042,1.5,4.5,1.0,2.0,0.5,24
BABA,H1,equity,0.003424,1.5,4.5,1.0,2.0,0.5,24
AAPL,H1,equity,0.003291,1.5,4.5,1.0,2.0,0.5,24
LVMH,H1,equity,0.00324,1.5,4.5,1.0,2.0,0.5,24
AMZN,H1,equity,0.002126,1.5,4.5,1.0,2.0,0.5,24
META,H1,equity,0.001831,1.5,4.5,1.0,2.0,0.5,24
GOOG,H1,equity,0.00138,1.5,4.5,1.0,2.0,0.5,24
PFE,H1,equity,0.001218,1.5,4.5,1.0,2.0,0.5,24
MSFT,H1,equity,0.000671,1.5,4.5,1.0,2.0,0.5,24
JP225.cash,H1,index,0.000655,1.5,6.0,0.8,2.5,1.0,30
US100.cash,H1,index,0.000404,1.5,6.0,0.8,2.5,1.0,30
BAYGn,H1,equity,0.000387,1.5,4.5,1.0,2.0,0.5,24
HK50.cash,H1,index,0.000374,1.5,6.0,0.8,2.5,1.0,30
IMXUSD,H1,crypto,0.000133,1.5,6.0,1.0,3.0,1.0,30
V,H1,equity,0.000126,1.5,4.5,1.0,2.0,0.5,24
GER40.cash,H1,index,0.000075,1.5,6.0,0.8,2.5,1.0,30
US30.cash,H1,index,0.000063,1.5,6.0,0.8,2.5,1.0,30
AAVUSD,H1,crypto,0.00002,1.5,6.0,1.0,3.0,1.0,30
ICPUSD,H1,crypto,0.000011,1.5,6.0,1.0,3.0,1.0,30
COFFEE.c,H1,commodity,8e-6,1.5,6.0,0.8,2.5,1.0,30
FETUSD,H1,crypto,7e-6,1.5,6.0,1.0,3.0,1.0,30
XAG_AUD,H1,commodity,4e-6,1.5,6.0,0.8,2.5,1.0,30
FRA40.cash,H1,index,3e-6,1.5,6.0,0.8,2.5,1.0,30
XAG_EUR,H1,commodity,2e-6,1.5,6.0,0.8,2.5,1.0,30
US500.cash,H1,index,1e-6,1.5,6.0,0.8,2.5,1.0,30
XAU_USD,H1,commodity,1e-6,1.5,6.0,0.8,2.5,1.0,30
XAU_AUD,H1,commodity,-3e-6,1.5,6.0,0.8,2.5,1.0,30
UKOIL.cash,H1,commodity,-7e-6,1.5,6.0,0.8,2.5,1.0,30
NFLX,H1,equity,-0.00001,1.5,4.5,1.0,2.0,0.5,24
XCU_USD,H1,commodity,-0.000015,1.5,6.0,0.8,2.5,1.0,30
DBKGn,H1,equity,-0.000022,1.5,4.5,1.0,2.0,0.5,24
