symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
BAC,0.5,ok,equity,H4,73,13623.87,9023.08,9.02,1.97,1.51,1.44,26.0,0.4463,6.1,8
BAC,0.51,ok,equity,H4,70,13437.56,8180.57,8.18,2.02,1.64,1.45,25.7,0.4514,6.0,8
BAC,0.52,ok,equity,H4,68,14256.19,8481.69,8.48,2.22,1.68,1.51,25.0,0.4891,5.7,8
BAC,0.53,ok,equity,H4,67,10108.3,8241.54,8.24,1.65,1.23,1.36,26.9,0.4158,6.1,8
BAC,0.54,ok,equity,H4,65,4647.39,7195.58,7.2,0.89,0.65,1.18,23.1,0.1879,5.3,8
BAC,0.55,ok,equity,H4,64,-1629.68,8974.65,8.97,-0.44,-0.18,0.94,20.3,-0.0399,5.0,8
BAC,0.56,ok,equity,H4,60,-2199.79,8779.11,8.78,-0.64,-0.25,0.91,20.0,-0.0886,4.8,8
BAC,0.57,ok,equity,H4,54,5148.18,5780.11,5.78,1.58,0.89,1.29,20.4,0.1804,5.0,8
BAC,0.58,ok,equity,H4,51,-8953.86,10179.62,10.18,-4.89,-0.88,0.51,15.7,-0.3835,4.4,8
BAC,0.59,ok,equity,H4,47,-8949.4,10332.45,10.33,-5.31,-0.87,0.5,14.9,-0.3964,4.3,8
BAC,0.6,ok,equity,H4,41,-8188.96,9816.11,9.82,-5.91,-0.83,0.48,22.0,-0.4086,4.5,8
BAC,0.61,ok,equity,H4,34,-4425.05,6792.48,6.79,-3.84,-0.65,0.61,23.5,-0.2671,4.6,8
BAC,0.62,ok,equity,H4,30,-4209.98,6605.95,6.61,-3.82,-0.64,0.61,23.3,-0.2881,4.8,8
BAC,0.63,ok,equity,H4,25,-6576.85,8886.22,8.89,-9.4,-0.74,0.36,16.0,-0.5938,4.0,8
BAC,0.64,ok,equity,H4,19,-8591.69,9268.4,9.27,-23.91,-0.93,0.07,5.3,-0.9696,3.4,8
BAC,0.65,ok,equity,H4,13,-2775.39,4562.94,4.56,-7.68,-0.61,0.39,15.4,-0.3712,4.6,8
BAC,0.66,ok,equity,H4,9,-2453.1,3563.94,3.56,-9.51,-0.69,0.31,11.1,-0.4332,4.3,8
BAC,0.67,ok,equity,H4,2,-192.85,192.85,0.19,-150.75,-1.0,0.0,0.0,-0.2436,4.0,8
EU50.cash,0.5,ok,index,H4,339,21068.7,9058.41,9.06,2.43,2.33,1.32,22.1,0.0626,3.1,26
EU50.cash,0.51,ok,index,H4,321,15285.44,7552.4,7.55,1.99,2.02,1.26,21.2,0.0621,3.1,26
EU50.cash,0.52,ok,index,H4,286,5117.87,8015.63,8.02,0.8,0.64,1.09,20.3,0.0056,3.1,26
EU50.cash,0.53,ok,index,H4,249,7000.4,7980.07,7.98,1.16,0.88,1.15,18.1,0.0153,3.1,26
EU50.cash,0.54,ok,index,H4,205,11410.22,7624.52,7.62,2.23,1.5,1.29,20.5,0.0461,3.2,26
EU50.cash,0.55,ok,index,H4,158,2032.91,6672.5,6.67,0.56,0.3,1.06,18.4,0.0115,3.1,26
EU50.cash,0.56,ok,index,H4,121,7314.51,4948.59,4.95,2.35,1.48,1.31,19.8,0.0423,3.3,26
EU50.cash,0.57,ok,index,H4,91,2506.45,4028.46,4.03,1.13,0.62,1.13,19.8,0.0088,3.3,26
EU50.cash,0.58,ok,index,H4,69,6785.76,3965.62,3.97,3.64,1.71,1.49,24.6,0.1095,3.4,26
EU50.cash,0.59,ok,index,H4,45,9109.9,2646.76,2.65,7.34,3.44,2.27,33.3,0.2072,3.7,26
EU50.cash,0.6,ok,index,H4,33,9045.16,1034.62,1.03,9.8,8.74,2.96,39.4,0.2821,3.6,26
EU50.cash,0.61,ok,index,H4,19,6178.25,501.81,0.5,11.92,12.31,3.98,42.1,0.4152,3.7,26
EU50.cash,0.62,ok,index,H4,7,2556.66,455.5,0.46,13.31,5.61,5.59,57.1,0.4352,4.6,26
PFE,0.5,ok,equity,H4,49,23289.51,9039.84,9.04,3.88,2.58,2.27,40.8,0.9208,9.4,8
PFE,0.51,ok,equity,H4,52,13245.32,9612.3,9.61,2.3,1.38,1.54,34.6,0.4854,8.6,8
PFE,0.52,ok,equity,H4,53,9285.1,8633.3,8.63,1.67,1.08,1.36,32.1,0.3001,8.6,8
PFE,0.53,ok,equity,H4,52,11836.36,8121.87,8.12,2.55,1.46,1.6,30.8,0.2681,8.0,8
PFE,0.54,ok,equity,H4,53,5775.34,9974.15,9.97,1.4,0.58,1.28,28.3,0.1187,7.4,8
PFE,0.55,ok,equity,H4,50,7854.09,8876.37,8.88,1.89,0.88,1.4,30.0,0.2523,7.6,8
PFE,0.56,ok,equity,H4,45,8689.83,8718.27,8.72,2.24,1.0,1.49,31.1,0.4502,7.4,8
PFE,0.57,ok,equity,H4,40,6200.17,8548.9,8.55,1.86,0.73,1.42,27.5,0.4238,7.1,8
PFE,0.58,ok,equity,H4,31,4036.32,7205.78,7.21,1.58,0.56,1.35,29.0,0.4108,7.7,8
PFE,0.59,ok,equity,H4,23,-2221.27,5519.49,5.52,-1.45,-0.4,0.77,21.7,-0.0742,8.0,8
PFE,0.6,ok,equity,H4,19,124.57,3600.85,3.6,0.1,0.03,1.02,26.3,0.0518,8.2,8
PFE,0.61,ok,equity,H4,14,1595.89,3563.66,3.56,1.51,0.45,1.31,28.6,0.2137,8.5,8
PFE,0.62,ok,equity,H4,8,683.0,1838.52,1.84,1.69,0.37,1.34,37.5,0.1604,8.6,8
PFE,0.63,ok,equity,H4,6,-3775.92,3775.92,3.78,-8.9,-1.0,0.2,16.7,-1.3342,11.7,8
RACE,0.5,ok,equity,H4,95,26777.86,5447.68,5.45,4.74,4.92,1.96,22.1,0.5553,4.2,8
RACE,0.51,ok,equity,H4,95,18263.55,4783.32,4.78,3.55,3.82,1.65,20.0,0.3934,4.0,8
RACE,0.52,ok,equity,H4,92,18854.85,4096.71,4.1,3.83,4.6,1.74,19.6,0.3763,4.0,8
RACE,0.53,ok,equity,H4,89,17382.99,4149.92,4.15,3.73,4.19,1.66,20.2,0.4118,3.7,8
RACE,0.54,ok,equity,H4,80,20022.52,3926.61,3.93,4.47,5.1,1.87,22.5,0.487,3.9,8
RACE,0.55,ok,equity,H4,63,18784.11,3780.52,3.78,4.88,4.97,2.02,25.4,0.5691,4.3,8
RACE,0.56,ok,equity,H4,54,12467.24,3272.89,3.27,3.97,3.81,1.73,25.9,0.5344,4.4,8
RACE,0.57,ok,equity,H4,48,13484.65,3441.17,3.44,4.6,3.92,1.92,27.1,0.7056,4.4,8
RACE,0.58,ok,equity,H4,36,17172.72,1751.22,1.75,6.56,9.81,2.69,33.3,1.1467,5.2,8
RACE,0.59,ok,equity,H4,33,16710.4,2197.71,2.2,7.23,7.6,3.05,33.3,1.1108,5.2,8
RACE,0.6,ok,equity,H4,28,8573.81,2987.27,2.99,5.12,2.87,2.11,25.0,0.5343,4.7,8
RACE,0.61,ok,equity,H4,25,9545.61,2307.65,2.31,6.45,4.14,2.55,24.0,0.6778,4.2,8
RACE,0.62,ok,equity,H4,17,8985.53,2417.56,2.42,7.37,3.72,3.19,23.5,1.1058,4.6,8
RACE,0.63,ok,equity,H4,12,5055.77,2162.6,2.16,6.63,2.34,2.38,25.0,0.9279,4.2,8
RACE,0.64,ok,equity,H4,8,3219.26,2130.89,2.13,6.38,1.51,2.15,25.0,0.8252,3.8,8
USOIL.cash,0.5,ok,commodity,H4,386,13148.36,8918.81,8.92,1.03,1.47,1.13,31.6,0.0867,4.1,34
USOIL.cash,0.51,ok,commodity,H4,362,5538.13,11583.66,11.58,0.5,0.48,1.06,30.7,0.0307,4.0,34
USOIL.cash,0.52,ok,commodity,H4,322,-2886.18,10326.62,10.33,-0.31,-0.28,0.97,29.5,-0.0152,3.8,34
USOIL.cash,0.53,ok,commodity,H4,274,946.35,9513.65,9.51,0.12,0.1,1.01,27.7,0.0065,3.7,34
USOIL.cash,0.54,ok,commodity,H4,222,-6467.38,8875.62,8.88,-1.14,-0.73,0.89,25.7,-0.0372,3.7,34
USOIL.cash,0.55,ok,commodity,H4,164,-2506.96,5649.08,5.65,-0.59,-0.44,0.94,28.7,-0.0537,3.8,34
USOIL.cash,0.56,ok,commodity,H4,114,-1410.73,5752.64,5.75,-0.45,-0.25,0.95,28.9,-0.0461,3.8,34
USOIL.cash,0.57,ok,commodity,H4,69,-2392.66,4351.5,4.35,-1.13,-0.55,0.88,24.6,-0.0649,3.9,34
USOIL.cash,0.58,ok,commodity,H4,52,-3588.03,4821.72,4.82,-2.55,-0.74,0.75,23.1,-0.1723,3.6,34
USOIL.cash,0.59,ok,commodity,H4,23,-1302.44,3248.14,3.25,-3.21,-0.4,0.76,30.4,-0.1235,2.9,34
USOIL.cash,0.6,ok,commodity,H4,8,1792.12,540.19,0.54,13.47,3.32,3.78,50.0,0.4419,3.1,34
USOIL.cash,0.61,ok,commodity,H4,2,448.98,59.26,0.06,21.38,7.58,8.58,50.0,0.3427,3.0,34
V,0.5,ok,equity,H4,79,38600.7,8987.04,8.99,3.84,4.3,2.04,19.0,0.5635,6.1,8
V,0.51,ok,equity,H4,76,44634.84,9053.39,9.05,4.27,4.93,2.15,21.1,0.6793,6.2,8
V,0.52,ok,equity,H4,75,35912.99,9660.39,9.66,3.67,3.72,1.95,18.7,0.5682,6.0,8
V,0.53,ok,equity,H4,69,24762.5,10108.81,10.11,2.99,2.45,1.68,17.4,0.4227,5.8,8
V,0.54,ok,equity,H4,71,18281.57,9964.88,9.96,2.34,1.83,1.47,15.5,0.3295,5.2,8
V,0.55,ok,equity,H4,68,19110.85,9272.55,9.27,2.5,2.06,1.55,14.7,0.3515,5.4,8
V,0.56,ok,equity,H4,67,17784.77,10218.66,10.22,2.35,1.74,1.49,14.9,0.336,5.2,8
V,0.57,ok,equity,H4,58,26243.98,14208.2,14.21,3.27,1.85,1.78,17.2,0.5671,5.6,8
V,0.58,ok,equity,H4,53,6597.23,11098.91,11.1,1.08,0.59,1.2,13.2,0.2258,5.4,8
V,0.59,ok,equity,H4,43,-13539.88,24844.3,24.84,-4.03,-0.54,0.53,7.0,-0.2596,5.3,8
V,0.6,ok,equity,H4,36,2712.6,12537.52,12.54,0.57,0.22,1.14,8.3,0.1904,7.0,8
V,0.61,ok,equity,H4,28,5587.25,9707.8,9.71,1.37,0.58,1.36,10.7,0.3655,7.1,8
V,0.62,ok,equity,H4,18,-9759.57,9759.57,9.76,-26.36,-1.0,0.0,0.0,-0.5045,6.1,8
V,0.63,ok,equity,H4,13,-7644.27,7644.27,7.64,-29.53,-1.0,0.0,0.0,-0.5462,6.2,8
