symbol,status,error,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled,account_id
AUDCAD,error,"[21:46:09] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 7.5MB
- Requested memory: 32MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1158208) [0x7ddec8958208]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1152c0d) [0x7ddec8952c0d]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x118feaf) [0x7ddec898feaf]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x11912f0) [0x7ddec89912f0]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x1198466) [0x7ddec8998466]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a5626) [0x7ddec7ea5626]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x6a6b37) [0x7ddec7ea6b37]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUDCHF,error,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUDJPY,error,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUDNZD,error,"[21:47:25] /workspace/src/common/device_vector.cu:23: Memory allocation error on worker 0: std::bad_alloc: cudaErrorMemoryAllocation: out of memory
- Free memory: 3.5MB
- Requested memory: 2.4381MB

Stack trace:
  [bt] (0) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x2be09c) [0x7ddec7abe09c]
  [bt] (1) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xafa353) [0x7ddec82fa353]
  [bt] (2) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0x16925e) [0x7ddec796925e]
  [bt] (3) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xbdfc38) [0x7ddec83dfc38]
  [bt] (4) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xbd63e0) [0x7ddec83d63e0]
  [bt] (5) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xb24f3f) [0x7ddec8324f3f]
  [bt] (6) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xb261fd) [0x7ddec83261fd]
  [bt] (7) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xca2bd1) [0x7ddec84a2bd1]
  [bt] (8) /home/tradebot/tradebots/.venv/lib/python3.14/site-packages/xgboost/lib/libxgboost.so(+0xca36e2) [0x7ddec84a36e2]

",,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUDUSD,ok,,0,H4,0.00040671754848796134,165,7,0.0022322804937812695,0.9496947214941588,0.7760103545833738,0.0865529011363503,3.6879109472370244,0.5055284849792978,0.09478961752927972,0.5231461985652519,150,16989,cuda,forex,0.00040671754848796134,0.0,0.6350315134377268,2.0,39,false,bright_100k
AUD_CAD,error,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUD_CHF,ok,,0,H4,-0.0004870770380360409,1766,3,0.10614590632822023,0.9187460029872482,0.9415409843822027,1.3915649977843132,0.002356295394072912,9.94000863359566,0.20083290949725674,0.6853540996099533,150,15631,cuda,forex,-0.0004870770380360409,3.0,1.592483477984526,3.0,39,false,bright_100k
AUD_JPY,ok,,0,H4,-0.0003595435297831694,1766,3,0.10614590632822023,0.9187460029872482,0.9415409843822027,1.3915649977843132,0.002356295394072912,9.94000863359566,0.20083290949725674,0.6853540996099533,150,16604,cuda,forex,-0.0003595435297831694,3.0,1.2294200211050903,3.0,39,false,bright_100k
AUD_NZD,ok,,0,H4,-0.0006430304840225438,1766,3,0.10614590632822023,0.9187460029872482,0.9415409843822027,1.3915649977843132,0.002356295394072912,9.94000863359566,0.20083290949725674,0.6853540996099533,150,15673,cuda,forex,-0.0006430304840225438,3.0,1.0816852656429534,3.0,39,false,bright_100k
AUD_USD,error,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,bright_100k
AUS200.cash,ok,,0,H4,-0.0003389989092876544,1766,3,0.13613622914254098,0.9118006703177478,0.9400029815426032,1.9375192607005494,0.002356295394072912,9.35339353827717,0.20083290949725674,0.6853540996099533,150,5467,cpu,index,-0.0003389989092876544,3.0,1.5650676891773196,3.0,39,false,bright_100k
AVAUSD,ok,,0,H4,0.005151457876600143,1760,4,0.6936742378040756,0.9118006703177478,0.890771982962403,12.063639358270864,0.05896480840667661,25.866441025146546,0.20083290949725674,0.6853540996099533,150,5271,cuda,crypto,0.005151457876600143,3.0,10.082339102672202,3.0,39,false,bright_100k
BABA,ok,,0,H4,0.019324608944691915,868,5,0.3169447616671961,0.44926139343728294,0.6041999227205079,0.00452077873319869,0.000012888617971864164,0.5699362903069323,0.19779826671305326,0.6253850053470742,150,1500,cuda,equity,0.019324608944691915,3.0,8.129137150155984,3.0,39,false,bright_100k
BAC,ok,,0,H4,-0.00011679080366490497,1766,3,0.13613622914254098,0.9118006703177478,0.9400029815426032,1.9375192607005494,0.002356295394072912,9.35339353827717,0.20083290949725674,0.6853540996099533,150,1580,cuda,equity,-0.00011679080366490497,3.0,19.04036557501931,3.0,39,false,bright_100k
BARUSD,ok,,0,H4,0.007994000636534233,952,7,2.380742967871024,0.5380260163777402,0.6920150089846366,0.0015180956286576371,0.001227589616230058,4.782354203530834,0.26338719578857445,0.9475075249508067,150,5538,cuda,crypto,0.007994000636534233,3.0,4.966123940265652,3.0,39,false,bright_100k
BAYGn,ok,,0,H4,0.0015531230551937727,1766,3,0.13613622914254098,0.9118006703177478,0.9400029815426032,1.9375192607005494,0.002356295394072912,9.35339353827717,0.20083290949725674,0.6853540996099533,150,2579,cuda,equity,0.0015531230551937727,3.0,14.550745725719423,3.0,39,false,bright_100k
BCHUSD,ok,,0,H4,0.005260505388035072,1202,7,0.6534601074514388,0.6677522611327997,0.42715784033581494,0.21405285798001408,0.0031111384152936257,13.596421566127304,0.13374116692353386,0.7511857663274109,150,8887,cuda,crypto,0.005260505388035072,3.0,16.86814731515386,3.0,39,false,bright_100k
BNBUSD,ok,,0,H4,0.004438029240158315,1062,10,4.337912153676245,0.413833879318891,0.7227916557003955,0.021243299259287578,0.12965614824626506,5.797091545148808,0.2997018214222484,0.40149794345082196,150,7200,cuda,crypto,0.004438029240158315,3.0,0.30190957808109004,3.0,39,false,bright_100k
