symbol,status,folds,parquet
NZD_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/NZD_CAD/wfo_metrics.parquet
NZD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/NZD_CHF/wfo_metrics.parquet
NZD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/NZD_JPY/wfo_metrics.parquet
RACE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/RACE/wfo_metrics.parquet
PFE,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/PFE/wfo_metrics.parquet
NZD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/NZD_USD/wfo_metrics.parquet
SUGAR.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/SUGAR.c/wfo_metrics.parquet
SOYBEAN.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/SOYBEAN.c/wfo_metrics.parquet
SPN35.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/SPN35.cash/wfo_metrics.parquet
T,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/T/wfo_metrics.parquet
TSLA,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/TSLA/wfo_metrics.parquet
UK100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/UK100.cash/wfo_metrics.parquet
UKOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/UKOIL.cash/wfo_metrics.parquet
US100.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/US100.cash/wfo_metrics.parquet
US30.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/US30.cash/wfo_metrics.parquet
US2000.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/US2000.cash/wfo_metrics.parquet
US500.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/US500.cash/wfo_metrics.parquet
USD_CNH,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_CNH/wfo_metrics.parquet
USD_CAD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_CAD/wfo_metrics.parquet
USD_CHF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_CHF/wfo_metrics.parquet
USD_HKD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_HKD/wfo_metrics.parquet
USD_CZK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_CZK/wfo_metrics.parquet
USD_ILS,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_ILS/wfo_metrics.parquet
USD_HUF,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_HUF/wfo_metrics.parquet
USD_JPY,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_JPY/wfo_metrics.parquet
USD_MXN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_MXN/wfo_metrics.parquet
USD_SGD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_SGD/wfo_metrics.parquet
USD_NOK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_NOK/wfo_metrics.parquet
USD_PLN,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_PLN/wfo_metrics.parquet
USD_SEK,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_SEK/wfo_metrics.parquet
V,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/V/wfo_metrics.parquet
USOIL.cash,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USOIL.cash/wfo_metrics.parquet
USD_ZAR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/USD_ZAR/wfo_metrics.parquet
WHEAT.c,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/WHEAT.c/wfo_metrics.parquet
VOWG_p,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/VOWG_p/wfo_metrics.parquet
WMT,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/WMT/wfo_metrics.parquet
XAG_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAG_AUD/wfo_metrics.parquet
XAG_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAG_EUR/wfo_metrics.parquet
XAG_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAG_USD/wfo_metrics.parquet
XAU_AUD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAU_AUD/wfo_metrics.parquet
XCU_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XCU_USD/wfo_metrics.parquet
XAU_EUR,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAU_EUR/wfo_metrics.parquet
XPD_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XPD_USD/wfo_metrics.parquet
XAU_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XAU_USD/wfo_metrics.parquet
XMRUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XMRUSD/wfo_metrics.parquet
ZM,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/ZM/wfo_metrics.parquet
XPT_USD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XPT_USD/wfo_metrics.parquet
XRPUSD,ok,1,/home/tradebot/tradebots/trading_prop/production/ml_boxes_native_wf34/XRPUSD/wfo_metrics.parquet
