symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel
EUR_AUD,killed_negative_ev,6402,forex,0,H1,-0.00022130441816952263,200,cuda,-0.00022130441816952263,0.5,0.9578894877276074,1.5,,,,,,,,,,
EUR_CAD,killed_negative_ev,6189,forex,0,H1,-0.00026661259385371675,200,cuda,-0.00026661259385371675,0.5,1.0203491634828765,1.5,,,,,,,,,,
EUR_CHF,killed_negative_ev,6089,forex,0,H1,-0.00029017584381131714,200,cuda,-0.00029017584381131714,0.5,0.9617491010321119,1.5,,,,,,,,,,
EUR_CZK,killed_negative_ev,5518,forex,0,H1,-0.0012229417860541256,200,cuda,-0.0012229417860541256,0.5,6.709345559251877,3.0,,,,,,,,,,
EUR_GBP,killed_negative_ev,5948,forex,0,H1,-0.00028168885511412604,200,cuda,-0.00028168885511412604,0.5,0.8214950035502021,1.5,,,,,,,,,,
EUR_HUF,killed_negative_ev,5575,forex,0,H1,-0.001048801675248261,200,cuda,-0.001048801675248261,0.5,5.593052521785947,3.0,,,,,,,,,,
EUR_JPY,killed_negative_ev,6463,forex,0,H1,-0.00018851420200586403,200,cuda,-0.00018851420200586403,0.5,0.8469814991000176,1.5,,,,,,,,,,
EUR_NOK,killed_negative_ev,6117,forex,0,H1,-0.0009004059712374146,200,cuda,-0.0009004059712374146,0.5,4.599265323348458,3.0,,,,,,,,,,
EUR_NZD,killed_negative_ev,6549,forex,0,H1,-0.00025597491235910007,200,cuda,-0.00025597491235910007,0.5,1.2002228985385486,1.5,,,,,,,,,,
EUR_PLN,killed_negative_ev,5664,forex,0,H1,-0.0010676943983034574,200,cuda,-0.0010676943983034574,0.5,5.505218488358151,3.0,,,,,,,,,,
EUR_USD,killed_negative_ev,6189,forex,0,H1,-0.0001557901037653528,200,cuda,-0.0001557901037653528,0.5,0.27465107869187805,1.5,,,,,,,,,,
FETUSD,ok,3411,crypto,0,H1,0.0011548226778546806,600,cuda,0.0011548226778546806,6.5,2.9027576197400435,8.0,244,4,6.155174894687531,0.45549974717769015,0.8822198529087955,2.4490170403362743,0.06137465034259207,1.623399960665061,0.00539495653497741,0.6386611074715423
FRA40.cash,ok,4677,index,0,H1,0.00019961493750405494,600,cuda,0.00019961493750405494,0.0,1.9992239037647894,1.5,367,6,0.8655995526971911,0.6791436468292434,0.3035461226201264,0.0010214304638469158,0.004172089644510174,2.25818240249247,0.22756674798604593,0.9378938167356884
GALUSD,killed_negative_ev,3499,crypto,0,H1,-0.0006488620448560651,200,cuda,-0.0006488620448560651,6.5,8.729812309035,8.0,,,,,,,,,,
