symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled,error
USDCNH,killed_negative_ev,5503,forex,0,M30,-0.001352015168993365,40,cuda,-0.001352015168993365,3.0,0.9569105933477012,5.0,,,,,,,,,,,,,
USDZAR,killed_negative_ev,12029,forex,0,M30,-0.0016275491892972338,40,cuda,-0.0016275491892972338,3.0,5.542311514787658,5.0,,,,,,,,,,,,,
USD_CAD,killed_negative_ev,12567,forex,0,M30,-0.0002853470316294588,40,cuda,-0.0002853470316294588,0.5,0.44250724605577796,1.5,,,,,,,,,,,,,
USD_CHF,killed_negative_ev,12660,forex,0,M30,-0.00026677261279498655,40,cuda,-0.00026677261279498655,0.5,0.7569545196500347,1.5,,,,,,,,,,,,,
USD_CNH,killed_negative_ev,5503,forex,0,M30,-0.000702015168993365,40,cuda,-0.000702015168993365,0.5,0.9569105933477012,3.0,,,,,,,,,,,,,
USD_CZK,killed_negative_ev,12357,forex,0,M30,-0.0011094327760444432,40,cuda,-0.0011094327760444432,0.5,6.337305306378557,3.0,,,,,,,,,,,,,
USD_HKD,killed_negative_ev,11665,forex,0,M30,-0.0006855149470708599,40,cuda,-0.0006855149470708599,0.5,0.5248991009508555,3.0,,,,,,,,,,,,,
USD_HUF,killed_negative_ev,12236,forex,0,M30,-0.0009724665480774393,40,cuda,-0.0009724665480774393,0.5,5.306908725666221,3.0,,,,,,,,,,,,,
USD_ILS,killed_negative_ev,11468,forex,0,M30,-0.0010477010917254686,40,cuda,-0.0010477010917254686,0.5,6.289042516742918,3.0,,,,,,,,,,,,,
USD_JPY,killed_negative_ev,12683,forex,0,M30,-0.00019722540787895588,40,cuda,-0.00019722540787895588,0.5,0.464975705019745,1.5,,,,,,,,,,,,,
USD_MXN,killed_negative_ev,12126,forex,0,M30,-0.0007012624922593597,40,cuda,-0.0007012624922593597,0.5,2.5834465661268124,3.0,,,,,,,,,,,,,
USD_NOK,killed_negative_ev,12251,forex,0,M30,-0.0008945395455074866,40,cuda,-0.0008945395455074866,0.5,4.552249370418814,3.0,,,,,,,,,,,,,
