total_return,total_return_pct,final_equity,max_dd,max_dd_pct,sharpe,calmar,profit_factor,n_trades,win_rate,wins,losses,avg_bars_held,ftmo_compliant,ftmo_killed,max_daily_loss_pct,max_daily_gain_pct,gross_profit,gross_loss,sl,tp,breakeven,trail,horizon,session,skipped_max_pos,skipped_corr,skipped_spread,skipped_dd_gate,skipped_profit_lock,skipped_profit_gate,skipped_session,skipped_already_in,prob_threshold,risk_scale,max_positions,dd_gate_pct,profit_lock_pct,profit_gate_pct,dd_recovery_threshold,session_buffer_hours
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.01,0.03,1
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.01,0.03,2
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.01,0.03,3
-8817.94,-0.0882,91182.06,10349.02,0.102,-0.827,-0.852,0.429,57,0.2632,15,42,7.1,False,True,-0.0408,0.014,6724.93,15673.97,26,0,9,16,6,0,1578,94,203,0,0,478,97,170,0.44,0.5,5,0.025,0.02,0.01,0.05,1
-8817.94,-0.0882,91182.06,10349.02,0.102,-0.827,-0.852,0.429,57,0.2632,15,42,7.1,False,True,-0.0408,0.014,6724.93,15673.97,26,0,9,16,6,0,1578,94,203,0,0,478,97,170,0.44,0.5,5,0.025,0.02,0.01,0.05,2
-8817.94,-0.0882,91182.06,10349.02,0.102,-0.827,-0.852,0.429,57,0.2632,15,42,7.1,False,True,-0.0408,0.014,6724.93,15673.97,26,0,9,16,6,0,1578,94,203,0,0,478,97,170,0.44,0.5,5,0.025,0.02,0.01,0.05,3
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.02,0.03,1
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.02,0.03,2
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.02,0.02,0.03,3
-9201.14,-0.092,90798.86,10692.28,0.1054,-0.933,-0.861,0.408,49,0.2653,13,36,7.4,False,True,-0.0408,0.0,6517.14,15992.16,24,0,7,14,4,0,1103,135,91,0,0,0,93,165,0.44,0.5,5,0.025,0.02,0.02,0.05,1
-9201.14,-0.092,90798.86,10692.28,0.1054,-0.933,-0.861,0.408,49,0.2653,13,36,7.4,False,True,-0.0408,0.0,6517.14,15992.16,24,0,7,14,4,0,1103,135,91,0,0,0,93,165,0.44,0.5,5,0.025,0.02,0.02,0.05,2
-9201.14,-0.092,90798.86,10692.28,0.1054,-0.933,-0.861,0.408,49,0.2653,13,36,7.4,False,True,-0.0408,0.0,6517.14,15992.16,24,0,7,14,4,0,1103,135,91,0,0,0,93,165,0.44,0.5,5,0.025,0.02,0.02,0.05,3
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.03,0.01,0.03,1
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.03,0.01,0.03,2
-9199.56,-0.092,90800.44,10690.7,0.1053,-0.814,-0.861,0.148,32,0.2188,7,25,5.8,False,True,-0.0536,0.0,1646.11,11154.16,14,0,6,9,3,0,1100,62,53,0,0,0,93,88,0.44,0.5,5,0.025,0.03,0.01,0.03,3
