symbol,status,gpu,timeframe,best_ev,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,error
DOTUSD,killed_negative_ev,0,H1,-0.003711597493282341,40,8594,cuda,crypto,-0.003711597493282341,6.5,35.26093088857627,8.0,,,,,,,,,,,
DXY.cash,killed_negative_ev,0,H1,-0.0007030253226036317,40,3034,cuda,forex,-0.0007030253226036317,0.13999999999999999,2.7395453369373723,3.0,,,,,,,,,,,
ETCUSD,killed_negative_ev,0,H1,-0.0008525470693338756,40,3453,cuda,crypto,-0.0008525470693338756,6.5,3.954913980620486,8.0,,,,,,,,,,,
ETHUSD,killed_negative_ev,0,H1,-0.0018515892213869806,40,8336,cuda,crypto,-0.0018515892213869806,6.5,12.383220370031541,8.0,,,,,,,,,,,
EU50.cash,killed_negative_ev,0,H1,-0.00008315439721928387,40,4649,cuda,index,-0.00008315439721928387,0.0,3.062474479379339,1.5,,,,,,,,,,,
EUR_AUD,killed_negative_ev,0,H1,-0.00023106327527977737,40,6402,cuda,forex,-0.00023106327527977737,0.5,0.9578894877276074,1.5,,,,,,,,,,,
EUR_CAD,killed_negative_ev,0,H1,-0.0002797852356895616,40,6189,cuda,forex,-0.0002797852356895616,0.5,1.0203491634828765,1.5,,,,,,,,,,,
EUR_CHF,killed_negative_ev,0,H1,-0.00028518974202200757,40,6089,cuda,forex,-0.00028518974202200757,0.5,0.9617491010321119,1.5,,,,,,,,,,,
EUR_CZK,killed_negative_ev,0,H1,-0.001221387935272525,40,5518,cuda,forex,-0.001221387935272525,0.5,6.709345559251877,3.0,,,,,,,,,,,
EUR_GBP,killed_negative_ev,0,H1,-0.00029087604175137864,40,5948,cuda,forex,-0.00029087604175137864,0.5,0.8214950035502021,1.5,,,,,,,,,,,
EUR_HUF,killed_negative_ev,0,H1,-0.001045205856957817,40,5575,cuda,forex,-0.001045205856957817,0.5,5.593052521785947,3.0,,,,,,,,,,,
EUR_JPY,killed_negative_ev,0,H1,-0.00017848181401509838,40,6463,cuda,forex,-0.00017848181401509838,0.5,0.8469814991000176,1.5,,,,,,,,,,,
EUR_NOK,killed_negative_ev,0,H1,-0.0008942694088279106,40,6117,cuda,forex,-0.0008942694088279106,0.5,4.599265323348458,3.0,,,,,,,,,,,
EUR_NZD,killed_negative_ev,0,H1,-0.0002654946028990849,40,6549,cuda,forex,-0.0002654946028990849,0.5,1.2002228985385486,1.5,,,,,,,,,,,
EUR_PLN,killed_negative_ev,0,H1,-0.0010662741625250883,40,5664,cuda,forex,-0.0010662741625250883,0.5,5.505218488358151,3.0,,,,,,,,,,,
EUR_USD,killed_negative_ev,0,H1,-0.0001727994664501285,40,6189,cuda,forex,-0.0001727994664501285,0.5,0.27465107869187805,1.5,,,,,,,,,,,
FETUSD,ok,0,H1,6.801968443989783e-6,80,3411,cuda,crypto,6.801968443989783e-6,6.5,2.9027576197400435,8.0,1603,9,0.8226701737014105,0.44969356432978536,0.38349527472861117,0.18283119263217526,7.577732245851235,5.2467723560181625,0.1894016723469312,0.47995295658998477,
FRA40.cash,ok,0,H1,3.130653239514343e-6,80,4677,cuda,index,3.130653239514343e-6,0.0,1.9992239037647894,1.5,1918,2,0.031408012866010054,0.40967254838109135,0.741141492310099,0.2814605572028893,0.00018725933502776842,1.104906162565201,0.03218006545124225,0.5593683808859181,
GALUSD,killed_negative_ev,0,H1,-0.0008205197196426118,40,3499,cuda,crypto,-0.0008205197196426118,6.5,8.729812309035,8.0,,,,,,,,,,,
GBPJPY,killed_negative_ev,0,H1,-0.0011190084257802256,40,6313,cuda,forex,-0.0011190084257802256,3.0,0.9527086034880081,5.0,,,,,,,,,,,
GBP_AUD,killed_negative_ev,0,H1,-0.00025921776400223215,40,6367,cuda,forex,-0.00025921776400223215,0.5,1.1241474197159549,1.5,,,,,,,,,,,
GBP_CAD,killed_negative_ev,0,H1,-0.0002720471573996993,40,6085,cuda,forex,-0.0002720471573996993,0.5,0.9585484193831207,1.5,,,,,,,,,,,
GBP_CHF,killed_negative_ev,0,H1,-0.00027804532909993506,40,6167,cuda,forex,-0.00027804532909993506,0.5,1.2674615461222827,1.5,,,,,,,,,,,
GBP_JPY,error,,,,,,,,,,,,,,,,,,,,,,"An exception is raised during the commit. This typically happens due to invalid data in the commit, e.g. exceeding max length. "
GBP_NZD,killed_negative_ev,0,H1,-0.0002542791959315934,40,6482,cuda,forex,-0.0002542791959315934,0.5,1.023438977451746,1.5,,,,,,,,,,,
GBP_USD,killed_negative_ev,0,H1,-0.00019908154187654476,40,6230,cuda,forex,-0.00019908154187654476,0.5,0.5334044539273007,1.5,,,,,,,,,,,
GER40.cash,ok,0,H1,0.00007504153409815019,80,6018,cuda,index,0.00007504153409815019,0.0,0.6510143715328602,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
GOOG,ok,0,H1,0.001380493540260716,80,1834,cuda,equity,0.001380493540260716,0.4,5.047045675762874,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
GRTUSD,killed_negative_ev,0,H1,-0.0006433987926691622,40,3517,cuda,crypto,-0.0006433987926691622,6.5,4.847701381594136,8.0,,,,,,,,,,,
HEATOIL.c,killed_negative_ev,0,H1,-0.04073546019341847,40,3249,cuda,commodity,-0.04073546019341847,0.13999999999999999,410.4403267583174,3.0,,,,,,,,,,,
HK50.cash,ok,0,H1,0.00037430460965102476,80,4908,cuda,index,0.00037430460965102476,0.0,2.636512772439653,1.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
IBE,killed_negative_ev,0,H1,-0.0026102161427924504,40,2441,cuda,equity,-0.0026102161427924504,0.4,29.090909090908468,2.5,,,,,,,,,,,
ICPUSD,ok,0,H1,0.000011214365390312087,80,3430,cuda,crypto,0.000011214365390312087,6.5,5.96006754743243,8.0,472,7,0.42922697709557134,0.5942733353250595,0.45270364878532665,0.005636640928123468,0.6541153954698045,5.133546524276767,0.11848544085791692,0.7778471519786,
IMXUSD,ok,0,H1,0.0001334522162942757,80,3460,cuda,crypto,0.0001334522162942757,6.5,6.926646810278381,8.0,1687,10,0.5530327943562829,0.6571554491589547,0.6609406787627018,0.03078754804781065,0.4760399436272266,5.009337027886591,0.09248682961222565,0.5617541923678611,
JP225.cash,ok,0,H1,0.0006549857472198425,80,6107,cuda,index,0.0006549857472198425,0.0,1.312811763171032,1.5,1496,2,1.6648288328084764,0.8603700730444782,0.6269926070852071,0.003262290613992345,0.5067963870046345,1.0404212238724984,0.11552103899116631,0.696130845089232,
LNKUSD,killed_negative_ev,0,H1,-0.0003826251562050551,40,3441,cuda,crypto,-0.0003826251562050551,6.5,1.9212911076243964,8.0,,,,,,,,,,,
LTCUSD,killed_negative_ev,0,H1,-0.0031781754379195783,40,8608,cuda,crypto,-0.0031781754379195783,6.5,27.939847152601153,8.0,,,,,,,,,,,
LVMH,ok,0,H1,0.0032398206199860933,80,2389,cuda,equity,0.0032398206199860933,0.4,2.429656764257795,2.5,602,6,0.052897432697340985,0.4266395603204072,0.37068670020763744,0.008252172942700892,0.05501920796976293,1.3210422836823579,0.11357305888259397,0.7637167675821381,
MANUSD,killed_negative_ev,0,H1,-0.001287227994518796,40,3450,cuda,crypto,-0.001287227994518796,6.5,11.930801352156172,8.0,,,,,,,,,,,
META,ok,0,H1,0.0018312826153923099,80,1800,cuda,equity,0.0018312826153923099,0.4,5.26092147062971,2.5,249,6,0.012471068463353658,0.9059419061927223,0.9023355783358137,0.03837823198142672,0.000026909383897036972,0.3207415938194649,0.008634081381019246,0.8943875846497178,
MSFT,ok,0,H1,0.0006707446908250139,80,1811,cuda,equity,0.0006707446908250139,0.4,3.352490421456973,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
N25.cash,killed_negative_ev,0,H1,-0.0012273254418094066,40,3569,cuda,index,-0.0012273254418094066,0.0,14.378888894635708,1.5,,,,,,,,,,,
NATGAS.cash,killed_negative_ev,0,H1,-0.00989572398530144,40,4102,cuda,commodity,-0.00989572398530144,0.13999999999999999,110.62260672244986,3.0,,,,,,,,,,,
NEOUSD,killed_negative_ev,0,H1,-0.02419219226595596,40,8638,cuda,crypto,-0.02419219226595596,6.5,240.9638554216865,8.0,,,,,,,,,,,
NERUSD,killed_negative_ev,0,H1,-0.002954318586361579,40,3430,cuda,crypto,-0.002954318586361579,6.5,31.41126318151275,8.0,,,,,,,,,,,
NFLX,killed_negative_ev,0,H1,-9.955561021574271e-6,40,1778,cuda,equity,-9.955561021574271e-6,0.4,11.373329542223242,2.5,,,,,,,,,,,
NVDA,ok,0,H1,0.005453701163273093,80,1805,cuda,equity,0.005453701163273093,0.4,5.568858940802714,2.5,294,2,0.016567462330528637,0.5251859652796926,0.5181172412434821,0.00041707664433786437,0.008429524260197328,0.3556785954196564,0.26163589169416646,0.48236023878033696,
NZDUSD,killed_negative_ev,0,H1,-0.001168371127096314,40,6537,cuda,forex,-0.001168371127096314,3.0,1.3918853086500278,5.0,,,,,,,,,,,
NZD_CAD,killed_negative_ev,0,H1,-0.0003212490764070989,40,6438,cuda,forex,-0.0003212490764070989,0.5,1.7756627661272617,1.5,,,,,,,,,,,
NZD_CHF,killed_negative_ev,0,H1,-0.0003550585935683043,40,6410,cuda,forex,-0.0003550585935683043,0.5,2.559508574354254,1.5,,,,,,,,,,,
NZD_JPY,killed_negative_ev,0,H1,-0.00019844832636970757,40,6556,cuda,forex,-0.00019844832636970757,0.5,1.5361657303366172,1.5,,,,,,,,,,,
NZD_USD,killed_negative_ev,0,H1,-0.0002183711270963139,40,6537,cuda,forex,-0.0002183711270963139,0.5,1.3918853086500278,1.5,,,,,,,,,,,
PFE,ok,0,H1,0.00121796792718877,80,1817,cuda,equity,0.00121796792718877,0.4,13.932427725530877,2.5,590,3,0.012902294634709236,0.6447532713902386,0.8432069691973654,0.03843623873459844,0.028879700377795282,0.30647897596554885,0.2226687778662584,0.5370748543714533,
RACE,killed_negative_ev,0,H1,-0.0011530391087559424,40,1828,cuda,equity,-0.0011530391087559424,0.4,20.967017268988975,2.5,,,,,,,,,,,
SANUSD,killed_negative_ev,0,H1,-0.0012394183498670008,40,3442,cuda,crypto,-0.0012394183498670008,6.5,11.10083256244096,8.0,,,,,,,,,,,
SOLUSD,killed_negative_ev,0,H1,-0.0005337842529135777,40,3422,cuda,crypto,-0.0005337842529135777,6.5,1.7426156661144916,8.0,,,,,,,,,,,
SOYBEAN.c,killed_negative_ev,0,H1,-0.0021105601367084935,40,4986,cuda,commodity,-0.0021105601367084935,0.0,18.773244574786244,4.0,,,,,,,,,,,
SPN35.cash,killed_negative_ev,0,H1,-0.00012935384952568436,40,3157,cuda,index,-0.00012935384952568436,0.0,4.410105927352602,1.5,,,,,,,,,,,
SUGAR.c,insufficient_rows,,,,,1161,,commodity,,,,,,,,,,,,,,,
T,killed_negative_ev,0,H1,-0.002772368314399863,40,1846,cuda,equity,-0.002772368314399863,0.4,34.10641200545751,2.5,,,,,,,,,,,
TSLA,ok,0,H1,0.0042003015261804074,80,1774,cuda,equity,0.0042003015261804074,0.4,5.459654757124338,2.5,1446,4,2.0218499516556734,0.72926216630837,0.4014121162875837,0.00010242251205083784,0.00002449629343316355,14.50311435955392,0.1734451662584154,0.7207805082202461,
UK100.cash,killed_negative_ev,0,H1,-0.000055266515280308374,40,5826,cuda,index,-0.000055266515280308374,0.0,1.2533385058405841,1.5,,,,,,,,,,,
UKOIL.cash,killed_negative_ev,0,H1,-7.122310813086696e-6,40,5582,cuda,commodity,-7.122310813086696e-6,0.0,2.6754063273354323,3.0,,,,,,,,,,,
UNIUSD,killed_negative_ev,0,H1,-0.00007172001750270905,40,3304,cuda,crypto,-0.00007172001750270905,6.5,2.9615492193031243,8.0,,,,,,,,,,,
US100.cash,ok,0,H1,0.00040445122921220174,80,5867,cuda,index,0.00040445122921220174,0.0,0.617091902983242,1.5,565,9,0.00934511247759717,0.9435493455534598,0.7950372224140098,0.00003909967579309111,0.0014545327876163258,1.296050015495693,0.008448363293053858,0.5061386930990771,
US2000.cash,killed_negative_ev,0,H1,-0.00008643186567894053,40,5836,cuda,index,-0.00008643186567894053,0.0,4.292572719571975,1.5,,,,,,,,,,,
US30.cash,ok,0,H1,0.00006327770404927776,80,5778,cuda,index,0.00006327770404927776,0.0,0.4632369971955916,1.5,1191,5,0.28698648233782426,0.6567173264892976,0.6536354535162756,0.000038942858415449055,0.025621139194807695,0.8715623859116087,0.05785032665835884,0.4108301410833394,
