symbol,status,gpu,timeframe,best_ev,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,trials,rows,device_used,cluster,calmar_score,fee_bps,spread_bps,slippage_bps,n_features,htf_enabled
AAVE_USD,ok,0,H4,0.010656261182299506,1115,4,0.43683359671256294,0.5222807294430738,0.3413984068249113,0.00029338927014511295,0.1638536809287745,0.44397612952037174,0.1646198982051536,0.6128558501183814,500,493,cuda,index,0.010656261182299506,3.0,5.141279524363123,3.0,39,false
ADA_USD,ok,0,H4,0.010876746404648214,255,3,0.030833881245862747,0.8985006982643978,0.8744418000594701,0.000016972618152274725,0.000013315000138443248,1.104782943301138,0.29980422943349644,0.6044189670508464,500,549,cuda,index,0.010876746404648214,3.0,4.305705059204166,3.0,39,false
ALGO_USD,ok,0,H4,0.010292445926851706,1597,5,0.0028515206103753928,0.5187047132139686,0.3171112804466653,0.037751780751649394,0.019111927745930415,0.7996632930629055,0.07729326864359762,0.7859771338004133,500,551,cuda,index,0.010292445926851706,3.0,9.362958694948972,3.0,39,false
AUDCAD,ok,0,H4,-0.0009605056973400119,339,8,0.013174605696627588,0.7798247613128446,0.7314507715533518,0.6970275975011151,38.034552408314205,23.84952999158909,0.042381804238320026,0.31152784962039,500,15541,cuda,forex,-0.0009605056973400119,3.0,1.251443426225186,5.0,39,false
AUDCHF,ok,0,H4,-0.0008870770380360408,1964,6,0.0017565389922833403,0.6162664576432753,0.5052516549332917,0.3300184269214529,0.00006126517617142074,7.953113872454172,0.1478767224618359,0.4987849686395809,500,15631,cuda,forex,-0.0008870770380360408,3.0,1.592483477984526,5.0,39,false
AUDJPY,ok,0,H4,-0.0007595435297831695,1198,4,0.21423247967862957,0.8543283828719022,0.8714501340401104,0.000012386631847763433,0.0011434335122504015,24.43268180497466,0.04705975717903437,0.994697706068089,500,16604,cuda,forex,-0.0007595435297831695,3.0,1.2294200211050903,5.0,39,false
AUDNZD,ok,0,H4,-0.0010430343843065527,452,5,0.14184209233359255,0.9184589428766881,0.7422109027693873,0.45681019538635476,0.003879059457001927,6.621661269093036,0.04126196890460366,0.6259833474451661,500,15673,cuda,forex,-0.0010430343843065527,3.0,1.0817242684830437,5.0,39,false
AUDUSD,ok,0,H4,-0.0007471125118835423,1814,6,0.0035835371631563868,0.7335462388392623,0.8476158032219185,0.004158215429105869,3.711356010908465,28.13235711070188,0.02590361840625419,0.5088219567708577,500,16989,cuda,forex,-0.0007471125118835423,3.0,0.6350315134377268,5.0,39,false
BNB_USD,ok,0,H4,0.007364156155482436,1204,6,0.026326383177510758,0.4630715783708593,0.588360770939008,0.016893063638383776,0.000021144059849604005,0.300489030653219,0.22860144960987583,0.38768795422401403,500,507,cuda,index,0.007364156155482436,3.0,2.2914757103566887,3.0,39,false
BTC_USD,ok,0,H4,0.006797333575155618,1064,9,0.1733787247712799,0.5362312664751834,0.9288216266262339,0.00002548981665548001,0.000012544693149346313,0.43593965408114094,0.10550184167659739,0.9741106343406455,500,528,cuda,index,0.006797333575155618,3.0,2.0425996221097895,3.0,39,false
CADCHF,ok,0,H4,-0.0009856413539200987,548,7,0.00177631745715204,0.7833580838200189,0.6243310439164089,0.01160844416915197,0.001310683888487165,10.83328947982796,0.22006610237863788,0.8639597532741288,500,15520,cuda,forex,-0.0009856413539200987,3.0,1.9362958660092855,5.0,39,false
CADJPY,ok,0,H4,-0.000833595993601524,1317,3,0.02921015211916991,0.5732418480293124,0.8803472158228025,0.0008196841566467775,0.013878230906472807,11.491339717675,0.010599356411355983,0.8161919991632776,500,15958,cuda,forex,-0.000833595993601524,3.0,1.3936828999754312,5.0,39,false
CHFJPY,ok,0,H4,-0.0009202980631953224,143,4,0.36706171532776893,0.5795944702444598,0.7867112851238334,0.06014318380803538,0.00004709265203504152,28.12226308730113,0.06128377333401961,0.6563682895066938,500,16666,cuda,forex,-0.0009202980631953224,3.0,1.124862722345721,5.0,39,false
DASH_USD,ok,0,H4,0.04807036322438465,1657,7,0.2745197740961863,0.4832075580826352,0.8920530164620949,0.0011210933431870641,0.00006983170242396165,2.292675917681317,0.2518458437080858,0.7223192828231058,500,532,cuda,index,0.04807036322438465,3.0,22.164758034725626,3.0,39,false
DOT_USD,ok,0,H4,0.00723956506041817,748,8,0.0056238013497293985,0.4065656705669815,0.7673199592059691,0.07961149616230907,0.00004198181486117854,1.6576967413448727,0.2857439244851746,0.9994734234358778,500,526,cuda,index,0.00723956506041817,3.0,9.38086303939859,3.0,39,false
ETH_USD,ok,0,H4,0.008479146390427059,1107,9,0.18875624904045998,0.5949491680381187,0.38379014873667733,0.004181997614765368,0.08175521700894572,0.3266926227272783,0.2084284719901669,0.3478456918480252,500,542,cuda,index,0.008479146390427059,3.0,3.1695000274447054,3.0,39,false
EU50.cash,ok,0,H4,0.0015728402813667633,1147,2,0.008383131882844086,0.4756441405555252,0.4332299273520676,0.000026232399215471687,0.3764511315440572,1.5097640868199895,0.29949085855241436,0.948965656187645,500,3854,cuda,index,0.0015728402813667633,0.0,3.0547836808300444,1.5,39,false
EURAUD,ok,0,H4,-0.0008801551276687813,800,8,0.001292261726605167,0.6229444938668153,0.5789937624919411,4.030838692556943,0.00001442447570560055,21.537007617357343,0.23519367456646215,0.721483710556033,500,16640,cuda,forex,-0.0008801551276687813,3.0,0.9579812517421533,5.0,39,false
