symbol,timeframe,cluster,bars,signals,trades,wins,losses,win_rate,total_return_pct,ann_return_pct,max_dd_pct,sharpe,profit_factor,avg_pnl_pct,median_pnl_pct,avg_bars_held,cost_bps,final_equity,exit_SL,exit_TP,exit_BE,exit_TRAIL,exit_HORIZON,SL,TP,BE,trail_act,trail_dist,horizon,mc_dd_p5,mc_dd_p25,mc_dd_p50,mc_dd_p75,mc_dd_p95,mc_ruin_pct
AAVUSD,H1,crypto,44791,23299,2836,774,2062,27.3,-87.52,-18.79,88.88,-0.562,0.903,-0.1491,-0.375,12.7,37.5,12482.26,798,23,1117,255,643,2.555576733500894,8.721939557712219,1.1334527267857983,4.695909475133769,1.5143940746963982,25,88.1,89.6,90.9,92.2,94.1,100.0
AAVUSD,H4,crypto,11372,5946,582,215,367,36.9,77.7,5.92,50.04,0.339,1.132,0.4536,-0.375,16.4,37.5,177699.21,188,8,128,108,150,2.671495930935706,9.82039060697048,1.7627548234772934,3.6812506373419107,1.699160436392881,29,40.3,47.7,53.4,60.3,70.6,0.0
AAVUSD,M15,crypto,101030,51429,7928,1362,6566,17.2,-100.0,-93.19,100.0,-5.476,0.595,-0.3108,-0.8304,10.2,37.5,0.0,5222,19,1309,897,481,0.9570070492571923,9.807604188248446,1.9663021475369298,4.8613293692650394,0.6718319416966423,42,100.0,100.0,100.0,100.0,100.0,100.0
AAVUSD,M30,crypto,77064,39362,7269,1136,6133,15.6,-100.0,-86.85,100.0,-2.338,0.746,-0.2255,-0.375,7.7,37.5,0.0,3559,86,2568,657,399,0.9310690318854662,9.105954228716085,0.9282251477048808,3.9835469318550683,2.33989201241777,35,100.0,100.0,100.0,100.0,100.0,100.0
AMZN,H1,equity,11741,6566,1747,241,1506,13.8,3227.08,41.97,15.32,1.713,1.659,0.194,-0.084,3.9,8.4,3327080.1,739,17,767,219,5,0.5983643559454165,6.823573704846991,0.30064506871491586,3.442022413749477,0.5541126769306025,35,14.1,16.7,18.9,21.9,27.3,0.0
AMZN,H4,equity,3453,1937,570,234,336,41.1,412.26,17.75,12.94,1.194,1.484,0.3825,-0.6888,2.7,8.4,512264.66,314,4,8,194,50,0.8267452600455494,5.40568415371706,1.2674907526445236,1.3720827937149143,0.3021719086173157,7,12.7,15.2,17.4,20.3,25.5,0.0
AMZN,M15,equity,32880,17117,4407,1608,2799,36.5,91.16,6.69,8.68,0.964,1.146,0.0368,-0.084,3.7,8.4,191157.83,1093,25,1695,1579,15,1.5938304872621698,7.690389873678966,0.33601375726382343,1.1859659600593442,0.300172617341488,22,7.8,9.4,10.9,13.0,16.4,0.0
AMZN,M30,equity,18414,10122,2774,483,2291,17.4,1528.66,32.19,22.78,1.262,1.317,0.0844,-0.2854,3.5,8.4,1628660.36,1574,25,717,446,12,0.5019365894837089,7.89476880385932,0.6903946733546708,2.4103243990412357,1.1049965936046848,25,19.7,23.4,26.5,30.9,38.9,0.0
AVAUSD,H1,crypto,38946,20196,3474,523,2951,15.1,-99.85,-47.83,99.94,-1.105,0.814,-0.2311,-1.2296,8.6,37.5,149.22,2163,8,785,419,99,0.8654503670056929,8.721644083423044,1.4250959208076648,4.4267395358698,0.5599152192355397,48,99.9,99.9,99.9,99.9,99.9,100.0
AVAUSD,H4,crypto,10187,5404,1084,274,810,25.3,-73.93,-12.58,94.82,-0.04,0.988,-0.0269,-2.1779,6.4,37.5,26068.63,703,6,104,192,79,0.8549634652776837,8.674197895636446,1.6892905627365185,2.432847866105404,1.7910279345623448,22,80.9,85.9,89.3,92.5,95.9,100.0
AVAUSD,M15,crypto,101026,51467,4458,1210,3248,27.1,-91.9,-22.22,92.0,-2.509,0.723,-0.2687,-0.375,19.9,37.5,8098.99,1639,141,1429,650,599,2.8184957896863168,6.841968572208638,1.7683179910276838,4.93492446466875,0.6827018618641605,48,91.9,92.0,92.1,92.3,92.5,100.0
AVAUSD,M30,crypto,76319,38997,8698,861,7837,9.9,-100.0,-81.01,100.0,-3.045,0.629,-0.2565,-0.375,5.7,37.5,0.01,3326,120,4510,560,182,0.8374639922291449,8.341727111008051,0.36364109871432937,4.313387252458553,2.1601455177958817,45,100.0,100.0,100.0,100.0,100.0,100.0
FRA40.cash,H1,index,26915,14127,2526,1363,1163,54.0,2.22,0.22,6.04,0.151,1.024,0.0058,0.1528,7.0,5.0,102217.15,836,12,287,1334,57,2.234823411832164,5.531524467193518,1.0638485445665598,1.3286101727140305,0.33029352132285933,24,3.0,3.7,4.4,5.3,6.8,0.0
FRA40.cash,H4,index,7317,4001,546,132,414,24.2,4.33,0.42,2.87,0.291,1.135,0.0533,-0.05,10.0,5.0,104328.61,145,8,265,105,23,2.342190770576069,7.32938285051748,0.872442329918456,3.0920950877335707,1.6129648222137594,36,2.4,3.0,3.6,4.4,5.7,0.0
FRA40.cash,M15,index,92790,48044,16571,5310,11261,32.0,-88.39,-19.38,88.42,-4.573,0.746,-0.0197,-0.0794,2.1,5.0,11605.21,9018,56,2013,5218,266,0.5334650330791787,6.454645236729142,0.6020968994536479,1.0559816499390988,0.30061652908002007,9,88.4,88.4,88.5,88.5,88.7,100.0
FRA40.cash,M30,index,48883,25609,7668,2462,5206,32.1,-52.49,-7.17,54.67,-1.365,0.873,-0.0136,-0.122,3.2,5.0,47509.15,5034,68,153,2407,6,0.5000503720267607,5.88894620629009,1.1640178654830768,1.2736106216323189,0.8231784224526362,35,52.7,53.2,53.9,54.8,56.3,100.0
JP225.cash,H1,index,29801,15900,5298,1814,3484,34.2,89.13,6.58,20.19,0.737,1.089,0.0121,-0.1643,2.2,5.0,189125.81,3223,5,260,1807,3,0.500148148857143,7.714526091780067,0.8315536772829548,1.0059889615328348,0.331238448488857,35,11.4,13.7,15.8,18.3,23.6,0.0
JP225.cash,H4,index,7957,4262,698,155,543,22.2,13.15,1.24,18.27,0.257,1.093,0.0461,-0.5772,8.5,5.0,113151.49,366,21,173,61,77,1.2374880170660907,6.595207468435199,1.4035239724891238,3.997212255982084,1.8382669524323718,24,8.7,10.8,12.7,15.3,19.0,0.0
JP225.cash,M15,index,100906,53374,17808,6385,11423,35.9,-94.35,-24.98,94.77,-3.204,0.822,-0.015,-0.1004,2.3,5.0,5649.4,11028,55,366,6341,18,0.5004104120135303,6.5056148733669845,0.9300649217679862,1.0072610982222179,0.30213446234273755,21,94.4,94.4,94.5,94.6,94.7,100.0
JP225.cash,M30,index,54672,29131,7443,871,6572,11.7,-53.67,-7.4,65.98,-0.586,0.924,-0.0089,-0.1248,4.5,5.0,46333.78,4325,34,2246,725,113,0.5004106078442527,7.55560944091426,0.7314312097884519,3.7624596905035634,0.8402287696642091,34,54.7,57.0,59.3,62.1,66.1,100.0
LNKUSD,H1,crypto,40023,20997,3537,822,2715,23.2,-99.57,-41.96,99.8,-0.389,0.904,-0.1383,-0.375,8.6,37.5,434.12,1693,7,1011,760,66,1.3696429311933234,9.571536657475793,1.2243777317395894,3.0113741669054845,0.5927559959213929,45,99.6,99.7,99.7,99.8,99.9,100.0
LNKUSD,H4,crypto,11289,5874,628,218,410,34.7,-80.93,-15.27,87.18,-0.135,0.94,-0.267,-0.375,14.7,37.5,19067.34,280,29,105,88,126,2.2501168088589583,7.461327202841849,1.954684081880774,3.243519325486941,2.458690299767546,30,83.3,87.2,90.4,93.0,95.5,100.0
LNKUSD,M15,crypto,101028,51521,8716,1194,7522,13.7,-100.0,-91.11,100.0,-6.362,0.547,-0.3085,-0.6875,9.0,37.5,0.0,4737,45,2765,866,303,0.9956808469875814,7.924303047233707,1.2359181275171542,4.802593981515738,0.5360888604477454,48,100.0,100.0,100.0,100.0,100.0,100.0
LNKUSD,M30,crypto,78444,40350,5333,1081,4252,20.3,-100.0,-68.52,100.0,-1.289,0.79,-0.24,-1.0645,11.9,37.5,0.96,3094,100,1122,447,570,1.200795605233653,9.058668060585772,1.7637078633591792,4.543470325963495,2.4857903289031693,38,100.0,100.0,100.0,100.0,100.0,100.0
LVMH,H1,equity,14196,7741,1753,366,1387,20.9,88.79,6.56,10.77,0.769,1.189,0.078,-0.084,5.2,8.4,188793.62,839,9,547,345,13,0.994577862919778,7.318568268010098,0.9327209250862396,2.8551420192350476,0.4129079385046708,30,10.2,12.5,14.4,17.0,21.5,0.0
LVMH,H4,equity,4838,2641,561,203,358,36.2,69.88,5.44,14.0,0.989,1.428,0.3153,-0.084,5.3,8.4,169876.69,185,4,163,193,16,1.589433847288335,5.886822098592694,0.8522442620009824,1.869728124392475,0.46630723023840537,18,5.6,6.7,7.8,9.3,12.0,0.0
LVMH,M15,equity,41896,22023,2695,903,1792,33.5,26.45,2.37,7.43,0.596,1.102,0.044,-0.084,12.7,8.4,126445.14,1025,39,721,774,136,2.3919872521219476,7.642824555199811,1.4487517846696614,3.1926631312747435,0.3001968216903263,36,5.6,6.9,7.9,9.4,12.5,0.0
LVMH,M30,equity,23061,12432,2859,1253,1606,43.8,44.94,3.78,4.62,0.988,1.183,0.056,-0.084,4.3,8.4,144940.99,665,8,930,1244,12,2.072577604054664,7.7571688809531585,0.4550426980598157,1.1263569070929105,0.3021367133008658,26,4.3,5.2,6.0,7.1,9.0,0.0
NERUSD,H1,crypto,38400,20163,2902,372,2530,12.8,-99.81,-46.46,99.9,-0.991,0.787,-0.2648,-0.375,9.9,37.5,193.53,656,75,1869,173,129,2.1839626000838535,8.01935442416835,0.5126115073597032,4.847216469385719,2.4648603156578845,48,99.8,99.8,99.8,99.9,99.9,100.0
NERUSD,H4,crypto,10045,5383,1354,241,1113,17.8,-96.48,-28.44,98.06,-0.056,0.984,-0.0281,-0.375,4.4,37.5,3523.02,438,3,674,220,19,1.216380497859162,6.042188396628138,0.42579998656675894,2.5686138162723666,0.5412258696369161,23,97.2,98.2,98.8,99.3,99.7,100.0
NERUSD,M15,crypto,101027,51574,5541,2878,2663,51.9,-99.88,-48.92,99.89,-2.553,0.768,-0.2314,0.2109,15.2,37.5,121.03,2045,23,385,2740,348,2.8454719690581203,6.995858785188092,1.924039147336393,2.2267044741220405,0.5012603391529141,48,99.9,99.9,99.9,99.9,99.9,100.0
NERUSD,M30,crypto,74630,38471,8910,2036,6874,22.9,-100.0,-99.14,100.0,-2.771,0.734,-0.2461,-0.9674,5.6,37.5,0.0,5743,15,955,825,1372,0.8013434669266457,9.344400699048167,1.74060859880007,3.6720267134424613,0.8518272722528255,15,100.0,100.0,100.0,100.0,100.0,100.0
