symbol,status,rows,cluster,gpu,timeframe,best_ev,trials,device_used,calmar_score,fee_bps,spread_bps,slippage_bps,best_num_boost_round,best_max_depth,best_gamma,best_subsample,best_colsample_bytree,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_eta,best_colsample_bylevel,n_features,htf_enabled
EUR_AUD,killed_negative_ev,1601,forex,0,H4,-7.064379888718226e-6,40,cuda,-7.064379888718226e-6,0.5,0.9578894877276074,1.5,,,,,,,,,,,,
EUR_CAD,killed_negative_ev,1589,forex,0,H4,-0.00005308603692768761,40,cuda,-0.00005308603692768761,0.5,1.0203491634828765,1.5,,,,,,,,,,,,
EUR_CHF,killed_negative_ev,1551,forex,0,H4,-0.00014710229949540352,40,cuda,-0.00014710229949540352,0.5,0.9617491010321119,1.5,,,,,,,,,,,,
EUR_CZK,killed_negative_ev,1487,forex,0,H4,-0.0011414224920223294,40,cuda,-0.0011414224920223294,0.5,6.709345559251877,3.0,,,,,,,,,,,,
EUR_GBP,killed_negative_ev,1559,forex,0,H4,-0.00011848376572842565,40,cuda,-0.00011848376572842565,0.5,0.8214950035502021,1.5,,,,,,,,,,,,
EUR_HUF,killed_negative_ev,1596,forex,0,H4,-0.0008991139382290959,40,cuda,-0.0008991139382290959,0.5,5.593052521785947,3.0,,,,,,,,,,,,
EUR_JPY,ok,1644,forex,0,H4,3.6044895350068053e-7,80,cuda,3.6044895350068053e-7,0.5,0.8469814991000176,1.5,267,3,0.7731456371491162,0.8034985350427072,0.8963005582597579,0.023514124797707855,0.00019208270064479142,8.82139304240304,0.019221254192837173,0.5917540707549311,39,false
EUR_NOK,killed_negative_ev,1601,forex,0,H4,-0.000689368374896727,40,cuda,-0.000689368374896727,0.5,4.599265323348458,3.0,,,,,,,,,,,,
EUR_NZD,killed_negative_ev,1591,forex,0,H4,-0.000015008265105289495,40,cuda,-0.000015008265105289495,0.5,1.2002228985385486,1.5,,,,,,,,,,,,
EUR_PLN,killed_negative_ev,1488,forex,0,H4,-0.0009509816386377271,40,cuda,-0.0009509816386377271,0.5,5.505218488358151,3.0,,,,,,,,,,,,
EUR_USD,ok,1574,forex,0,H4,0.0004610092864272976,80,cuda,0.0004610092864272976,0.5,0.27465107869187805,1.5,1854,4,0.10505058468454236,0.9114927347328837,0.6752449534252047,0.004208513195661427,0.0033746372377779273,0.5047199887717644,0.2609364522251437,0.9163340907547961,39,false
FETUSD,insufficient_rows,862,crypto,,,,,,,,,,,,,,,,,,,,,
FRA40.cash,insufficient_rows,1196,index,,,,,,,,,,,,,,,,,,,,,
GALUSD,insufficient_rows,833,crypto,,,,,,,,,,,,,,,,,,,,,
GBPJPY,killed_negative_ev,1611,forex,0,H4,-0.0009171680415856139,40,cuda,-0.0009171680415856139,3.0,0.9527086034880081,5.0,,,,,,,,,,,,
GBP_AUD,killed_negative_ev,1564,forex,0,H4,-0.00001353117499105196,40,cuda,-0.00001353117499105196,0.5,1.1241474197159549,1.5,,,,,,,,,,,,
GBP_CAD,killed_negative_ev,1660,forex,0,H4,-0.00008313603525406242,40,cuda,-0.00008313603525406242,0.5,0.9585484193831207,1.5,,,,,,,,,,,,
GBP_CHF,ok,1553,forex,0,H4,0.0001609247045943857,80,cuda,0.0001609247045943857,0.5,1.2674615461222827,1.5,1334,3,0.01609140452261995,0.7620873965410085,0.6101452620392742,0.00023115517826024896,0.0009085664964456299,0.6291237626219718,0.0866227330285523,0.9016792512844273,39,false
GBP_JPY,ok,1611,forex,0,H4,0.00001169286924112932,80,cuda,0.00001169286924112932,0.5,0.9527086034880081,1.5,1427,6,0.002710143951194798,0.7042684980848891,0.7266081250724388,0.0016582120124256704,3.0882342940539766,17.78161789405216,0.007204325481811701,0.6080545302616509,39,false
GBP_NZD,killed_negative_ev,1572,forex,0,H4,-0.000013987059807670882,40,cuda,-0.000013987059807670882,0.5,1.023438977451746,1.5,,,,,,,,,,,,
GBP_USD,ok,1663,forex,0,H4,8.552472081763353e-6,80,cuda,8.552472081763353e-6,0.5,0.5334044539273007,1.5,1756,8,0.03319954539914523,0.9444753582505238,0.5824709221257921,2.078151234095984,0.6986693401648463,1.8788341103112136,0.00834473462366213,0.4311102470185876,39,false
GER40.cash,ok,1594,index,0,H4,0.0012416214787277968,80,cuda,0.0012416214787277968,0.0,0.6510143715328602,1.5,550,9,0.002964651184394467,0.9438135533485569,0.8370291974606654,0.0002560560487012637,0.0921773921901585,1.7194083336559565,0.09433850664266581,0.6473180538309368,39,false
GOOG,insufficient_rows,514,equity,,,,,,,,,,,,,,,,,,,,,
GRTUSD,insufficient_rows,822,crypto,,,,,,,,,,,,,,,,,,,,,
HEATOIL.c,insufficient_rows,870,commodity,,,,,,,,,,,,,,,,,,,,,
HK50.cash,ok,1465,index,0,H4,0.003685370050591162,80,cuda,0.003685370050591162,0.0,2.636512772439653,1.5,813,2,0.008529542466479143,0.4559370852224305,0.46830773682981824,0.004400461001330191,0.0006673465927462358,0.30314601641979944,0.18646602774038132,0.8280680290299293,39,false
IBE,insufficient_rows,808,equity,,,,,,,,,,,,,,,,,,,,,
ICPUSD,insufficient_rows,871,crypto,,,,,,,,,,,,,,,,,,,,,
IMXUSD,insufficient_rows,818,crypto,,,,,,,,,,,,,,,,,,,,,
JP225.cash,ok,1511,index,0,H4,0.0016630905179678926,80,cuda,0.0016630905179678926,0.0,1.312811763171032,1.5,1367,9,0.47217588174318254,0.6658565651004933,0.7747850933459652,0.00004092312594914068,0.000048943268084526355,9.452098926102787,0.03239909430325134,0.5447218328822828,39,false
LNKUSD,insufficient_rows,813,crypto,,,,,,,,,,,,,,,,,,,,,
LTCUSD,ok,2116,crypto,0,H4,0.0001082824449368605,80,cuda,0.0001082824449368605,6.5,27.939847152601153,8.0,1834,7,0.04527593790487262,0.9154370797779643,0.8027797770127879,0.008351537321474912,0.0026673140015893468,5.504392652554735,0.2317188943975829,0.7076844344663663,39,false
LVMH,insufficient_rows,779,equity,,,,,,,,,,,,,,,,,,,,,
MANUSD,insufficient_rows,822,crypto,,,,,,,,,,,,,,,,,,,,,
META,insufficient_rows,541,equity,,,,,,,,,,,,,,,,,,,,,
MSFT,insufficient_rows,548,equity,,,,,,,,,,,,,,,,,,,,,
N25.cash,insufficient_rows,1018,index,,,,,,,,,,,,,,,,,,,,,
NATGAS.cash,insufficient_rows,1088,commodity,,,,,,,,,,,,,,,,,,,,,
NEOUSD,killed_negative_ev,2064,crypto,0,H4,-0.021672526634758434,40,cuda,-0.021672526634758434,6.5,240.9638554216865,8.0,,,,,,,,,,,,
NERUSD,insufficient_rows,845,crypto,,,,,,,,,,,,,,,,,,,,,
NFLX,insufficient_rows,517,equity,,,,,,,,,,,,,,,,,,,,,
NVDA,insufficient_rows,508,equity,,,,,,,,,,,,,,,,,,,,,
NZDUSD,killed_negative_ev,1639,forex,0,H4,-0.0008738614487143263,40,cuda,-0.0008738614487143263,3.0,1.3918853086500278,5.0,,,,,,,,,,,,
NZD_CAD,killed_negative_ev,1632,forex,0,H4,-0.00010297398114722428,40,cuda,-0.00010297398114722428,0.5,1.7756627661272617,1.5,,,,,,,,,,,,
NZD_CHF,killed_negative_ev,1583,forex,0,H4,-0.000018281228652855378,40,cuda,-0.000018281228652855378,0.5,2.559508574354254,1.5,,,,,,,,,,,,
NZD_JPY,ok,1641,forex,0,H4,0.0002728327476626202,80,cuda,0.0002728327476626202,0.5,1.5361657303366172,1.5,258,8,0.0022756133124355745,0.8424388202580677,0.8057818596607579,0.0005134335267494815,0.6393580642760937,0.9242726754914764,0.03321235581151163,0.7697155471753213,39,false
NZD_USD,ok,1639,forex,0,H4,0.00014545700528594227,80,cuda,0.00014545700528594227,0.5,1.3918853086500278,1.5,1967,6,0.00697502140744091,0.8187337351185685,0.7664288691679723,0.04395178298405813,0.00010094411127041346,21.03398390061222,0.13559023927724537,0.9127298839644113,39,false
PFE,insufficient_rows,474,equity,,,,,,,,,,,,,,,,,,,,,
RACE,insufficient_rows,534,equity,,,,,,,,,,,,,,,,,,,,,
SANUSD,insufficient_rows,819,crypto,,,,,,,,,,,,,,,,,,,,,
SOLUSD,insufficient_rows,846,crypto,,,,,,,,,,,,,,,,,,,,,
SOYBEAN.c,killed_negative_ev,1554,commodity,0,H4,-0.0016918209908634513,40,cuda,-0.0016918209908634513,0.0,18.773244574786244,4.0,,,,,,,,,,,,
SPN35.cash,insufficient_rows,1127,index,,,,,,,,,,,,,,,,,,,,,
SUGAR.c,insufficient_rows,305,commodity,,,,,,,,,,,,,,,,,,,,,
T,insufficient_rows,493,equity,,,,,,,,,,,,,,,,,,,,,
TSLA,insufficient_rows,475,equity,,,,,,,,,,,,,,,,,,,,,
UK100.cash,ok,1483,index,0,H4,0.0010995049294811557,80,cuda,0.0010995049294811557,0.0,1.2533385058405841,1.5,820,3,0.014735201107224405,0.5048290568840202,0.8283738163344779,0.03449502606722207,0.0002700785795678039,0.4872026620483954,0.04392227183278446,0.38293023517414004,39,false
UKOIL.cash,ok,1650,commodity,0,H4,0.0015583415342645907,80,cuda,0.0015583415342645907,0.0,2.6754063273354323,3.0,835,9,0.011595775319449976,0.8034536304045165,0.5112486684705171,39.89474724763889,0.00012245951829177785,12.601468465732621,0.015785595273335753,0.9916877011893601,39,false
UNIUSD,insufficient_rows,781,crypto,,,,,,,,,,,,,,,,,,,,,
US100.cash,ok,1642,index,0,H4,0.0015320001066030224,80,cuda,0.0015320001066030224,0.0,0.617091902983242,1.5,1827,8,0.01053404070189186,0.8309488973160077,0.6270442518656957,0.19532332031706678,0.003663579529153487,1.8673634250413294,0.0813547607808783,0.7866779594129698,39,false
US2000.cash,ok,1508,index,0,H4,0.001347503811511941,80,cuda,0.001347503811511941,0.0,4.292572719571975,1.5,1113,4,0.10337702948103666,0.8042467511789518,0.4374980651958106,0.019663765464645093,0.000045369848380413635,1.3461178743257238,0.08025300301098462,0.33511084390697465,39,false
US30.cash,ok,1622,index,0,H4,0.0009796038914680989,80,cuda,0.0009796038914680989,0.0,0.4632369971955916,1.5,413,6,0.7663895978507727,0.6891485116079136,0.8558553514495568,0.000011309326085726781,0.5699530334592224,3.169257957568658,0.009269492150255543,0.6520046006080613,39,false
US500.cash,ok,1630,index,0,H4,0.0009122267586609398,80,cuda,0.0009122267586609398,0.0,1.046691147608667,1.5,1495,9,0.0026811277019201628,0.655773484188911,0.7073252295092443,1.8223053124970952,0.00005219289646310751,23.952568118393177,0.17026409245934915,0.554706233128313,39,false
USDCNH,insufficient_rows,699,forex,,,,,,,,,,,,,,,,,,,,,
USDZAR,killed_negative_ev,1651,forex,0,H4,-0.0012245984996613946,40,cuda,-0.0012245984996613946,3.0,5.542311514787658,5.0,,,,,,,,,,,,
USD_CAD,killed_negative_ev,1634,forex,0,H4,-0.00008289298783738714,40,cuda,-0.00008289298783738714,0.5,0.44250724605577796,1.5,,,,,,,,,,,,
