symbol,timeframe,cluster,bars,signals,trades,wins,losses,win_rate,total_return_pct,ann_return_pct,max_dd_pct,sharpe,profit_factor,avg_pnl_pct,median_pnl_pct,avg_bars_held,cost_bps,final_equity,exit_SL,exit_TP,exit_BE,exit_TRAIL,exit_HORIZON,SL,TP,BE,trail_act,trail_dist,horizon,mc_dd_p5,mc_dd_p25,mc_dd_p50,mc_dd_p75,mc_dd_p95,mc_ruin_pct
AAVUSD,H4,crypto,11372,5946,582,215,367,36.9,77.95,5.93,50.02,0.339,1.132,0.4542,-0.375,16.4,37.5,177948.04,188,8,128,108,150,2.671,9.82,1.763,3.681,1.699,29,40.2,47.7,53.4,60.3,70.6,0.0
AMZN,H4,equity,3453,1937,570,234,336,41.1,411.74,17.73,12.94,1.194,1.483,0.3824,-0.6889,2.7,8.4,511736.79,314,4,8,194,50,0.827,5.406,1.267,1.372,0.302,7,12.7,15.2,17.4,20.3,25.5,0.0
FRA40.cash,H4,index,7317,4001,556,129,427,23.2,5.22,0.51,3.09,0.304,1.142,0.0552,-0.05,9.9,5.0,105216.91,167,8,256,99,26,2.052,8.0,0.928,3.122,1.736,36,2.7,3.4,4.0,4.9,6.3,0.0
JP225.cash,H4,index,7957,4262,1073,143,930,13.3,182.76,10.95,15.21,0.887,1.415,0.0982,-0.2785,4.3,5.0,282755.31,593,22,337,111,10,0.5,7.988,0.633,3.027,1.705,35,11.7,14.1,16.3,19.1,24.2,0.0
LVMH,H1,equity,14196,7741,1753,366,1387,20.9,88.75,6.56,10.77,0.769,1.189,0.078,-0.084,5.2,8.4,188753.07,838,9,548,345,13,0.995,7.319,0.933,2.855,0.413,30,10.2,12.5,14.4,17.0,21.6,0.0
NVDA,H4,equity,2754,1621,496,100,396,20.2,4034.97,45.09,38.75,1.284,1.869,0.6123,-0.7515,2.6,8.4,4134970.72,255,2,141,98,,0.501,6.144,0.542,1.998,0.58,23,21.6,25.9,29.6,33.7,41.8,0.0
