timeframe,fold_rows,trades_total,win_rate_mean,sharpe_mean,sortino_mean,mdd_mean,pf_mean
H1,96,9528,0.42726527008946685,-3.030992773567599,-7.623170304157154,-0.18170567866276788,0.6424422673903943
M1,96,8650,0.19565147579785977,-1.5851562393287708,-4.3979444690916525,-0.07702847224358023,inf
M15,96,12421,0.38341402567980315,-5.15195777598055,-10.289773396819191,-0.18004238653765325,1.2285880321373115
M30,96,10985,0.4198036307611117,-3.8223251240249994,-8.63456398861363,-0.18522419687222533,inf
M5,96,11252,0.40247815672743986,-3.2223100430699154,-7.532736143854344,-0.1281910032797561,inf
