symbol,timeframe,year,thread,train_years,n_obs,n_trades,win_rate,sharpe,sortino,max_drawdown_pct,profit_factor,device,spread_bps,slippage_bps,total_cost_bps
AUD_NZD,H1,2026,1,2024-2025,812,37,0.6486486486486487,2.5165121934236216,5.118410511357528,-0.01047477645632,1.44699847782827,cuda,1.0823486966708575,3.0,7.0823486966708575
AUD_NZD,M1,2026,1,2024-2025,49162,0,0.0,0.0,0.0,0.0,0.0,cuda,1.0823486966708575,3.0,7.0823486966708575
AUD_NZD,M15,2026,1,2024-2025,3263,30,0.3,-8.630389939291732,-23.079574208184148,-0.02753389013319041,0.32569788812595696,cuda,1.0823486966708575,3.0,7.0823486966708575
AUD_NZD,M30,2026,1,2024-2025,1652,43,0.4186046511627907,-5.4713181647341615,-14.724770868614605,-0.024184737218913455,0.47743754723868487,cuda,1.0823486966708575,3.0,7.0823486966708575
AUD_NZD,M5,2026,1,2024-2025,9715,11,0.18181818181818182,-11.53122987191153,-19.54803521167883,-0.012211408805748558,0.17983874004103478,cuda,1.0823486966708575,3.0,7.0823486966708575
AUD_JPY,H1,2026,1,2024-2025,830,156,0.4166666666666667,-5.060974565018407,-12.861915559240837,-0.13910588931249013,0.49755668604275866,cuda,1.235152438396819,3.0,7.235152438396819
AUD_JPY,M1,2026,1,2024-2025,50258,0,0.0,0.0,0.0,0.0,0.0,cuda,1.235152438396819,3.0,7.235152438396819
AUD_JPY,M15,2026,1,2024-2025,3343,82,0.4146341463414634,-6.468296742945376,-14.292348157328103,-0.07880846598228919,0.4080525535940916,cuda,1.235152438396819,3.0,7.235152438396819
AUD_JPY,M30,2026,1,2024-2025,1665,113,0.39823008849557523,-6.139947528796462,-14.34354718418236,-0.10951259510382838,0.4311941564670336,cuda,1.235152438396819,3.0,7.235152438396819
AUD_JPY,M5,2026,1,2024-2025,10065,35,0.3142857142857143,-5.087424261162878,-11.187262543551299,-0.021648214533839583,0.4920747609192522,cuda,1.235152438396819,3.0,7.235152438396819
ADAUSD,H1,2026,1,2024-2025,1092,182,0.4835164835164835,-2.0598743585873196,-5.119996232291333,-0.5198701514248674,0.7506845060847485,cuda,39.25104757863509,8.0,50.25104757863509
ADAUSD,M1,2026,1,2024-2025,69325,7,0.2857142857142857,-3.2737844651414427,-4.194695222506816,-0.18251491256217345,0.5608282664105634,cuda,39.25104757863509,8.0,50.25104757863509
ADAUSD,M15,2026,1,2024-2025,4394,147,0.3741496598639456,-2.5760703265655875,-3.288821269679723,-0.6701961139930979,0.5269420773567784,cuda,39.25104757863509,8.0,50.25104757863509
