symbol,threshold,status,cluster,timeframe,n_trades,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,win_rate,expectancy_pct,avg_bars_held,n_folds
ALVG,0.5,ok,equity,H4,114,-39855.9,53300.32,53.3,-1.78,-0.75,0.75,25.4,-0.2111,8.2,15
ALVG,0.51,ok,equity,H4,111,-36181.73,48357.85,48.36,-1.6,-0.75,0.77,26.1,-0.1937,8.4,15
ALVG,0.52,ok,equity,H4,109,-33571.38,47632.01,47.63,-1.49,-0.7,0.78,26.6,-0.1781,8.4,15
ALVG,0.53,ok,equity,H4,106,-27671.27,46460.05,46.46,-1.27,-0.6,0.81,27.4,-0.1386,8.3,15
ALVG,0.54,ok,equity,H4,102,-3331.53,28322.22,28.32,-0.16,-0.12,0.98,31.4,-0.049,8.4,15
ALVG,0.55,ok,equity,H4,84,-992.07,26615.78,26.62,-0.05,-0.04,0.99,31.0,-0.0287,8.7,15
ALVG,0.56,ok,equity,H4,71,-5790.77,22419.38,22.42,-0.37,-0.26,0.94,31.0,-0.0155,9.1,15
ALVG,0.57,ok,equity,H4,54,-10629.8,25821.63,25.82,-0.92,-0.41,0.85,31.5,-0.0142,9.4,15
ALVG,0.58,ok,equity,H4,22,-5614.52,11848.76,11.85,-1.27,-0.47,0.82,36.4,0.2405,9.5,15
ALVG,0.59,ok,equity,H4,3,921.54,3138.83,3.14,1.72,0.29,1.29,33.3,0.3648,8.3,15
AMZN,0.5,ok,equity,H4,91,70748.86,24630.36,24.63,4.01,2.87,1.64,39.6,0.4692,4.4,8
AMZN,0.51,ok,equity,H4,90,71141.94,24630.36,24.63,4.07,2.89,1.65,40.0,0.4756,4.4,8
AMZN,0.52,ok,equity,H4,90,73921.21,24630.36,24.63,4.17,3.0,1.67,40.0,0.4756,4.4,8
AMZN,0.53,ok,equity,H4,90,73886.04,24630.36,24.63,4.16,3.0,1.67,40.0,0.4756,4.4,8
AMZN,0.54,ok,equity,H4,90,68572.04,30355.96,30.36,3.83,2.26,1.6,38.9,0.4401,4.3,8
AMZN,0.55,ok,equity,H4,90,68486.3,30355.96,30.36,3.83,2.26,1.6,38.9,0.4401,4.3,8
AMZN,0.56,ok,equity,H4,90,67692.54,29755.04,29.76,3.8,2.27,1.58,40.0,0.4343,4.3,8
AMZN,0.57,ok,equity,H4,90,70157.92,27947.79,27.95,3.92,2.51,1.6,40.0,0.4439,4.3,8
AMZN,0.58,ok,equity,H4,90,67837.81,27947.79,27.95,3.79,2.43,1.57,40.0,0.4278,4.3,8
AMZN,0.59,ok,equity,H4,90,64970.18,27947.79,27.95,3.63,2.32,1.54,38.9,0.4125,4.3,8
AMZN,0.6,ok,equity,H4,88,76614.72,27983.5,27.98,4.33,2.74,1.7,39.8,0.5077,4.4,8
AMZN,0.61,ok,equity,H4,88,74372.5,27983.5,27.98,4.21,2.66,1.68,38.6,0.4935,4.4,8
AMZN,0.62,ok,equity,H4,88,67294.19,28102.02,28.1,3.89,2.39,1.61,37.5,0.4306,4.3,8
AMZN,0.63,ok,equity,H4,88,68597.48,28102.02,28.1,3.93,2.44,1.63,37.5,0.4306,4.3,8
AMZN,0.64,ok,equity,H4,88,68743.93,28102.02,28.1,3.93,2.45,1.63,37.5,0.4306,4.3,8
