symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok
BAC,ok,equity,us_equity,H4,0.62,7.2,11.7,1.02,3.12,0.33,36,1.0,24.4,19.0,-7358.78,28713.69,28.71,-0.8,-0.26,0.91,-0.0587,14.9,87,3.4,8,4.6395,0.8841,66.7,1.1,18.4,13.8,0.0,false
ICPUSD,ok,crypto,crypto,H1,2.93,4.5,1.5,0.49,4.28,1.98,45,1.0,28.5,6.0,-15206.83,35724.43,35.72,-1.15,-0.43,0.87,-0.1875,14.0,414,9.3,18,6.2181,1.2311,16.9,9.7,68.8,1.9,2.7,false
LNKUSD,ok,crypto,crypto,H4,2.25,7.46,3.3,1.95,3.24,2.46,30,1.0,24.4,1.9,-2726.7,5207.18,5.21,-0.44,-0.52,0.91,-0.2387,39.7,63,16.1,16,6.5288,4.691,44.4,3.2,12.7,17.5,22.2,true
MANUSD,ok,crypto,crypto,H4,2.0,7.63,3.8,0.92,2.94,0.5,40,1.0,34.4,11.9,-18235.52,24345.03,24.35,-2.36,-0.75,0.67,-0.6805,19.5,123,8.2,16,7.5834,2.6839,35.8,0.8,44.7,17.9,0.8,false
AAVUSD,ok,crypto,crypto,H4,2.67,9.82,3.7,1.76,3.68,1.7,29,1.0,23.1,0.6,-8059.76,10790.02,10.79,-1.24,-0.75,0.78,-0.4482,34.7,75,15.5,16,7.5175,4.6748,41.3,0.0,22.7,17.3,18.7,false
SANUSD,ok,crypto,crypto,H4,0.94,8.7,9.2,1.84,2.87,0.56,47,1.0,33.6,11.1,-34041.92,42563.37,42.56,-2.44,-0.8,0.7,-0.575,18.7,134,7.3,16,7.3947,2.403,67.2,0.0,13.4,17.9,1.5,false
ALGUSD,ok,crypto,crypto,H4,2.78,9.84,3.5,1.88,4.08,2.33,47,1.0,38.0,15.5,-9690.07,11795.86,11.8,-1.64,-0.82,0.68,-0.9181,30.2,63,19.7,16,7.6549,4.62,38.1,1.6,27.0,19.0,14.3,false
FETUSD,ok,crypto,crypto,H4,2.28,7.71,3.4,1.92,4.86,2.46,46,1.0,25.4,2.9,-24185.54,26487.03,26.49,-2.49,-0.91,0.54,-1.3483,21.9,73,17.5,16,12.9429,5.3598,53.4,5.5,21.9,8.2,11.0,false
GRTUSD,ok,crypto,crypto,H4,1.71,5.26,3.1,0.38,5.0,0.5,47,1.0,27.3,4.8,-13680.97,14904.72,14.9,-1.92,-0.92,0.66,-0.3433,7.7,142,6.6,16,10.8363,1.282,21.1,4.9,71.1,1.4,1.4,false
WHEAT.c,ok,commodity,unknown,H4,0.62,7.2,11.7,1.02,3.12,0.33,36,1.0,26.5,20.5,-124804.06,131408.53,131.41,-3.17,-0.95,0.7,-0.1744,14.5,386,4.0,32,2.662,0.6557,63.0,0.0,22.5,14.5,0.0,false
XMRUSD,ok,crypto,unknown,H4,0.93,9.06,9.8,1.32,3.98,0.54,47,1.0,120.2,97.7,-146377.58,152888.82,152.89,-2.34,-0.96,0.67,-0.6185,17.8,377,9.2,49,8.7312,2.6392,54.6,0.5,27.3,13.3,4.2,false
XTZUSD,ok,crypto,unknown,H4,1.48,9.49,6.4,2.0,4.61,1.4,45,1.0,71.5,49.0,-19034.5,19034.5,19.03,-1.28,-1.0,0.76,-0.5647,17.2,93,13.2,16,13.282,3.442,61.3,2.2,20.4,8.6,7.5,false
