symbol,status,cluster,session,timeframe,sl,tp,rrr,be,trail_act,trail_dist,horizon,risk_pct,cost_bps,spread_bps,total_return,max_dd,dd_pct,sharpe,calmar,profit_factor,expectancy_pct,win_rate,n_trades,avg_bars_held,n_folds,avg_win_pct,avg_loss_pct,pct_sl,pct_tp,pct_be,pct_trail,pct_horizon,ftmo_ok,leak_free,warmup_trades,optimized_trades
UKOIL.cash,ok,commodity,oil,H4,1.66,7.11,4.3,1.03,2.06,1.78,12,0.5,8.7,2.7,3922.07,6697.22,6.7,0.43,0.59,1.07,0.0362,27.7,318,6.0,35,1.924,0.6861,25.2,2.5,43.1,21.4,7.9,true,true,27,291
US500.cash,ok,index,us_idx,H4,1.57,7.5,4.8,1.13,1.14,1.96,35,0.5,4.0,1.0,7165.92,15295.07,15.3,0.33,0.47,1.06,-0.0356,17.5,348,5.2,35,1.427,0.3464,52.9,0.9,29.6,15.8,0.9,false,true,24,324
ICPUSD,ok,crypto,crypto,H4,1.21,9.79,8.1,1.62,4.79,2.29,31,0.5,28.5,6.0,2948.84,6668.34,6.67,0.45,0.44,1.1,-0.1511,25.4,122,8.4,18,8.2651,3.0181,40.2,4.1,31.1,18.9,5.7,true,true,21,101
US2000.cash,ok,index,us_idx,H4,1.76,7.92,4.5,1.41,2.39,1.27,19,0.5,7.2,4.2,5870.35,13519.56,13.52,0.4,0.43,1.06,-0.012,28.5,319,5.9,35,1.5859,0.6498,50.8,0.6,18.8,22.3,7.5,false,true,22,297
AUS200.cash,ok,index,apac_idx,H4,1.34,5.79,4.3,1.45,3.77,1.69,28,0.5,4.6,1.6,5309.38,12526.03,12.53,0.49,0.42,1.1,0.0061,23.7,253,8.1,34,1.2595,0.3835,35.2,1.6,38.7,15.4,9.1,false,true,30,223
UNIUSD,ok,crypto,crypto,H4,2.03,9.19,4.5,1.11,1.95,0.86,36,0.5,25.5,3.0,1797.01,4506.81,4.51,0.46,0.4,1.1,0.1723,32.7,110,10.7,18,7.2944,3.2925,29.1,1.8,35.5,29.1,4.5,true,true,22,88
USOIL.cash,ok,commodity,oil,H4,0.87,7.77,8.9,0.91,1.63,0.97,25,0.5,9.9,3.9,1133.03,2805.8,2.81,0.31,0.4,1.05,-0.0024,35.8,137,7.2,35,1.8598,1.0393,26.3,2.2,35.0,35.0,1.5,true,true,14,123
FRA40.cash,ok,index,eu_idx,H4,0.65,7.6,11.8,0.9,3.0,0.34,36,0.5,5.0,2.0,3525.05,11076.42,11.08,0.34,0.32,1.04,0.0106,22.6,288,4.4,27,1.2043,0.3374,45.5,2.4,31.2,16.7,4.2,false,true,26,262
BAYGn,ok,equity,eu_equity,H4,1.37,7.16,5.2,1.39,3.19,1.77,25,0.5,20.0,14.6,2871.13,10034.31,10.03,0.36,0.29,1.06,0.1331,23.6,148,5.8,15,4.9015,1.3438,53.4,4.1,21.6,15.5,5.4,false,true,27,121
EU50.cash,ok,index,eu_idx,H4,0.74,3.98,5.4,0.34,2.89,1.33,8,0.5,6.1,3.1,1388.62,4827.4,4.83,0.34,0.29,1.04,0.0304,39.6,139,5.9,27,1.0405,0.631,38.8,1.4,18.7,35.3,5.8,true,true,15,124
META,ok,equity,us_equity,H4,2.46,7.39,3.0,1.42,1.57,1.68,36,0.5,10.7,5.3,565.48,3052.51,3.05,0.25,0.19,1.04,0.1887,31.9,69,7.1,8,3.9483,1.5711,36.2,5.8,31.9,24.6,1.4,true,true,32,37
MSFT,ok,equity,us_equity,H4,1.08,7.71,7.2,1.13,3.55,1.48,35,0.5,8.8,3.4,933.0,7725.44,7.73,0.32,0.12,1.05,0.0474,23.3,86,4.8,8,3.3529,0.9543,36.0,1.2,38.4,18.6,5.8,true,true,32,54
